id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-00038,SIN-0012,Denuncia Policial,Sí,Sí,2024-09-22,No,
DOC-00039,SIN-0012,Informe Perito,Sí,Sí,2024-09-26,No,
DOC-00040,SIN-0012,Fotos Daño,Sí,Sí,2024-09-22,No,
DOC-00041,SIN-0013,Informe Perito,Sí,Sí,2024-05-09,No,
DOC-00042,SIN-0013,Copia Matrícula,Sí,Sí,2024-05-09,No,
DOC-00043,SIN-0014,Copia Matrícula,Sí,Sí,2023-06-02,No,
DOC-00044,SIN-0014,Fotos Daño,Sí,Sí,2023-05-27,No,
DOC-00045,SIN-0015,Informe Médico,Sí,Sí,2023-02-09,No,
DOC-00046,SIN-0015,Resultados Exámenes,Sí,Sí,2023-02-04,No,
DOC-00047,SIN-0015,Recetas Médicas,Sí,Sí,2023-02-07,No,
DOC-00048,SIN-0015,Factura Hospital,Sí,Sí,2023-02-10,No,
DOC-00049,SIN-0016,Factura Reparación,Sí,Sí,2023-12-22,No,
DOC-00050,SIN-0016,Fotos Daño,Sí,Sí,2023-12-14,No,
DOC-00051,SIN-0016,Informe Bomberos,Sí,Sí,2023-12-19,No,
DOC-00052,SIN-0017,Copia Licencia,Sí,Sí,2024-02-16,No,
DOC-00053,SIN-0017,Informe Perito,Sí,Sí,2024-02-22,No,
DOC-00054,SIN-0017,Fotos Daño,Sí,Sí,2024-02-21,No,
DOC-00055,SIN-0017,Factura Taller,Sí,Sí,2024-02-13,No,
DOC-00056,SIN-0018,Informe Perito,Sí,Sí,2025-01-13,Sí,Documento ilegible en secciones clave
DOC-00057,SIN-0018,Copia Matrícula,Sí,Sí,2025-01-12,Sí,Firma del asegurado no coincide
DOC-00058,SIN-0018,Factura Taller,No,No,2025-01-16,Sí,Firma del asegurado no coincide
DOC-00059,SIN-0018,Denuncia Policial,Sí,Sí,2025-01-23,Sí,Valores en factura no coinciden con el informe del perito
DOC-00060,SIN-0019,Informe Perito,No,No,2023-06-19,Sí,Sello del proveedor no reconocido
DOC-00061,SIN-0019,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00062,SIN-0019,Copia Matrícula,Sí,Sí,2023-05-28,Sí,Fecha de factura anterior a la fecha del siniestro
DOC-00063,SIN-0020,Informe Bomberos,Sí,Sí,2023-05-19,No,
DOC-00064,SIN-0020,Inventario Bienes,No,No,,No,Documento no entregado por el asegurado
DOC-00065,SIN-0020,Factura Reparación,No,No,,No,Documento no entregado por el asegurado
DOC-00066,SIN-0020,Fotos Daño,Sí,Sí,2023-05-25,No,
DOC-00067,SIN-0021,Copia Matrícula,Sí,Sí,2023-12-21,No,
DOC-00068,SIN-0021,Denuncia Policial,Sí,Sí,2023-12-15,No,
DOC-00069,SIN-0022,Inventario Bienes,Sí,Sí,2023-10-13,No,
DOC-00070,SIN-0022,Informe Bomberos,Sí,Sí,2023-10-19,No,
DOC-00071,SIN-0023,Acta Policial,Sí,Sí,2023-06-14,No,
DOC-00072,SIN-0023,Cotización Reparación,Sí,Sí,2023-06-17,No,
DOC-00073,SIN-0023,Fotos Daño,Sí,Sí,2023-06-20,No,
DOC-00074,SIN-0024,Copia Licencia,No,No,,No,Documento no entregado por el asegurado
DOC-00075,SIN-0024,Informe Perito,Sí,Sí,2024-08-25,Sí,Fecha de emisión posterior a la fecha de reporte
DOC-00076,SIN-0024,Fotos Daño,No,No,2024-09-02,Sí,Documento ilegible en secciones clave
DOC-00077,SIN-0025,Copia Licencia,Sí,Sí,2023-08-14,No,
DOC-00078,SIN-0025,Factura Taller,Sí,Sí,2023-08-17,No,
DOC-00079,SIN-0025,Denuncia Policial,Sí,Sí,2023-08-24,No,
DOC-00080,SIN-0025,Fotos Daño,Sí,Sí,2023-08-15,No,
DOC-00081,SIN-0026,Copia Matrícula,Sí,Sí,2024-02-09,No,
DOC-00082,SIN-0026,Informe Perito,Sí,Sí,2024-01-31,No,
DOC-00083,SIN-0026,Factura Taller,Sí,Sí,2024-01-31,No,
DOC-00084,SIN-0027,Póliza Original,Sí,Sí,2023-06-07,No,
DOC-00085,SIN-0027,Copia Cédula Beneficiario,Sí,Sí,2023-06-09,No,
DOC-00086,SIN-0027,Informe Médico,Sí,Sí,2023-06-15,No,
DOC-00087,SIN-0027,Acta de Defunción,Sí,Sí,2023-06-04,No,
DOC-00088,SIN-0028,Acta de Defunción,Sí,Sí,2023-09-03,No,
DOC-00089,SIN-0028,Copia Cédula Beneficiario,Sí,Sí,2023-08-31,No,
DOC-00090,SIN-0028,Póliza Original,Sí,Sí,2023-08-26,No,
DOC-00091,SIN-0029,Factura Hospital,Sí,Sí,2025-02-15,No,
DOC-00092,SIN-0029,Historia Clínica,Sí,Sí,2025-02-22,No,
DOC-00093,SIN-0029,Resultados Exámenes,Sí,Sí,2025-02-17,No,
DOC-00094,SIN-0029,Recetas Médicas,Sí,Sí,2025-02-22,No,
DOC-00095,SIN-0030,Acta de Defunción,Sí,Sí,2023-03-01,No,
DOC-00096,SIN-0030,Póliza Original,Sí,Sí,2023-03-06,No,
DOC-00097,SIN-0030,Informe Médico,Sí,Sí,2023-03-08,No,
DOC-00098,SIN-0030,Copia Cédula Beneficiario,Sí,Sí,2023-03-07,No,
DOC-00099,SIN-0031,Factura Taller,Sí,Sí,2024-06-20,No,
DOC-00100,SIN-0031,Fotos Daño,Sí,Sí,2024-06-17,No,
DOC-00101,SIN-0031,Copia Licencia,Sí,Sí,2024-06-14,No,
DOC-00102,SIN-0031,Denuncia Policial,Sí,Sí,2024-06-10,No,
DOC-00103,SIN-0032,Informe Perito,Sí,Sí,2024-06-29,No,
DOC-00104,SIN-0032,Fotos Daño,Sí,Sí,2024-06-28,No,
DOC-00105,SIN-0032,Copia Licencia,Sí,Sí,2024-07-04,No,
DOC-00106,SIN-0033,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00107,SIN-0033,Informe Perito,Sí,Sí,2024-03-31,No,
DOC-00108,SIN-0034,Informe Médico,Sí,Sí,2024-05-06,No,
DOC-00109,SIN-0034,Acta de Defunción,No,No,,No,Documento no entregado por el asegurado
DOC-00110,SIN-0034,Copia Cédula Beneficiario,Sí,Sí,2024-05-15,No,
DOC-00111,SIN-0035,Informe Perito,No,No,,No,Documento no entregado por el asegurado
DOC-00112,SIN-0035,Denuncia Policial,No,No,,No,Documento no entregado por el asegurado
DOC-00113,SIN-0036,Informe Médico,Sí,Sí,2023-07-16,No,
DOC-00114,SIN-0036,Historia Clínica,Sí,Sí,2023-07-18,No,
DOC-00115,SIN-0036,Recetas Médicas,Sí,Sí,2023-07-26,No,
DOC-00116,SIN-0036,Resultados Exámenes,Sí,Sí,2023-07-25,No,
DOC-00117,SIN-0037,Factura Hospital,Sí,Sí,2023-11-25,No,
DOC-00118,SIN-0037,Recetas Médicas,Sí,Sí,2023-11-25,No,
DOC-00119,SIN-0037,Historia Clínica,Sí,Sí,2023-11-25,No,
DOC-00120,SIN-0038,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00121,SIN-0038,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00122,SIN-0039,Copia Cédula Beneficiario,Sí,Sí,2024-12-02,No,
DOC-00123,SIN-0039,Póliza Original,Sí,Sí,2024-11-29,No,
DOC-00124,SIN-0040,Acta Policial,Sí,Sí,2023-05-23,No,
DOC-00125,SIN-0040,Cotización Reparación,Sí,Sí,2023-05-12,No,
DOC-00126,SIN-0040,Informe Técnico,Sí,Sí,2023-05-17,No,
DOC-00127,SIN-0041,Informe Perito,Sí,Sí,2024-07-12,No,
DOC-00128,SIN-0041,Copia Matrícula,Sí,Sí,2024-07-06,No,
DOC-00129,SIN-0041,Denuncia Policial,Sí,Sí,2024-07-07,No,
DOC-00130,SIN-0042,Copia Matrícula,Sí,Sí,2022-10-18,No,
DOC-00131,SIN-0042,Copia Licencia,Sí,Sí,2022-10-15,No,
DOC-00132,SIN-0042,Fotos Daño,Sí,Sí,2022-10-20,No,
DOC-00133,SIN-0042,Informe Perito,Sí,Sí,2022-10-07,No,
DOC-00134,SIN-0043,Informe Perito,Sí,Sí,2023-03-22,No,
DOC-00135,SIN-0043,Copia Matrícula,Sí,Sí,2023-03-16,No,
DOC-00136,SIN-0043,Factura Taller,Sí,Sí,2023-03-09,No,
DOC-00137,SIN-0044,Factura Reparación,Sí,Sí,2025-01-29,No,
DOC-00138,SIN-0044,Inventario Bienes,Sí,Sí,2025-02-07,No,
DOC-00139,SIN-0045,Informe Médico,Sí,Sí,2025-03-05,No,
DOC-00140,SIN-0045,Factura Hospital,No,No,,No,Documento no entregado por el asegurado
DOC-00141,SIN-0045,Resultados Exámenes,No,No,,No,Documento no entregado por el asegurado
DOC-00142,SIN-0045,Recetas Médicas,No,No,,No,Documento no entregado por el asegurado
DOC-00143,SIN-0046,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00144,SIN-0046,Informe Perito,Sí,Sí,2023-11-10,No,
DOC-00145,SIN-0046,Denuncia Policial,Sí,Sí,2023-10-31,No,
DOC-00146,SIN-0046,Factura Taller,Sí,Sí,2023-11-01,No,
DOC-00147,SIN-0047,Fotos Daño,Sí,Sí,2025-02-23,No,
DOC-00148,SIN-0047,Informe Bomberos,Sí,Sí,2025-02-17,No,
DOC-00149,SIN-0047,Inventario Bienes,Sí,Sí,2025-02-23,No,
DOC-00150,SIN-0047,Factura Reparación,Sí,Sí,2025-02-12,No,
DOC-00151,SIN-0048,Fotos Daño,Sí,Sí,2024-03-04,No,
DOC-00152,SIN-0048,Informe Perito,No,No,,No,Documento no entregado por el asegurado
DOC-00153,SIN-0048,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00154,SIN-0049,Copia Licencia,No,No,,No,Documento no entregado por el asegurado
DOC-00155,SIN-0049,Copia Matrícula,Sí,Sí,2024-08-26,No,
DOC-00156,SIN-0050,Factura Taller,Sí,Sí,2023-12-02,No,
DOC-00157,SIN-0050,Denuncia Policial,Sí,Sí,2023-11-22,No,
DOC-00158,SIN-0050,Copia Licencia,Sí,Sí,2023-11-28,No,
DOC-00159,SIN-0051,Factura Taller,No,No,2023-05-19,Sí,Fecha de emisión posterior a la fecha de reporte
DOC-00160,SIN-0051,Copia Matrícula,Sí,Sí,2023-05-11,Sí,Firma del asegurado no coincide
DOC-00161,SIN-0051,Copia Licencia,No,No,,No,Documento no entregado por el asegurado
DOC-00162,SIN-0051,Denuncia Policial,No,No,2023-05-18,Sí,Valores en factura no coinciden con el informe del perito
DOC-00163,SIN-0052,Copia Licencia,No,No,,No,Documento no entregado por el asegurado
DOC-00164,SIN-0052,Informe Perito,No,No,,No,Documento no entregado por el asegurado
DOC-00165,SIN-0052,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00166,SIN-0052,Factura Taller,Sí,Sí,2024-04-23,No,
DOC-00167,SIN-0053,Denuncia Policial,Sí,Sí,2024-04-14,No,
DOC-00168,SIN-0053,Copia Licencia,Sí,Sí,2024-04-11,No,
DOC-00169,SIN-0054,Acta de Defunción,Sí,Sí,2024-01-11,No,
DOC-00170,SIN-0054,Copia Cédula Beneficiario,Sí,Sí,2024-01-12,No,
DOC-00171,SIN-0054,Póliza Original,Sí,Sí,2024-01-17,No,
DOC-00172,SIN-0054,Informe Médico,Sí,Sí,2024-01-10,No,
DOC-00173,SIN-0055,Denuncia Policial,Sí,Sí,2025-01-27,No,
DOC-00174,SIN-0055,Informe Perito,Sí,Sí,2025-01-17,No,
DOC-00175,SIN-0055,Copia Licencia,Sí,Sí,2025-01-22,No,
DOC-00176,SIN-0056,Denuncia Policial,Sí,Sí,2021-02-20,No,
DOC-00177,SIN-0056,Copia Licencia,Sí,Sí,2021-02-25,No,
DOC-00178,SIN-0056,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00179,SIN-0056,Informe Perito,No,No,,No,Documento no entregado por el asegurado
DOC-00180,SIN-0057,Póliza Original,Sí,Sí,2022-04-12,No,
DOC-00181,SIN-0057,Informe Médico,Sí,Sí,2022-04-06,No,
DOC-00182,SIN-0057,Acta de Defunción,Sí,Sí,2022-04-10,No,
DOC-00183,SIN-0058,Copia Licencia,Sí,Sí,2024-11-30,No,
DOC-00184,SIN-0058,Copia Matrícula,Sí,Sí,2024-12-10,No,
DOC-00185,SIN-0058,Fotos Daño,Sí,Sí,2024-12-03,No,
DOC-00186,SIN-0058,Factura Taller,Sí,Sí,2024-12-09,No,
DOC-00187,SIN-0059,Historia Clínica,Sí,Sí,2025-02-14,No,
DOC-00188,SIN-0059,Recetas Médicas,Sí,Sí,2025-02-03,No,
DOC-00189,SIN-0059,Factura Hospital,Sí,Sí,2025-02-03,No,
DOC-00190,SIN-0059,Informe Médico,Sí,Sí,2025-02-04,No,
DOC-00191,SIN-0060,Fotos Daño,Sí,Sí,2025-02-21,No,
DOC-00192,SIN-0060,Informe Perito,Sí,Sí,2025-02-21,No,
DOC-00193,SIN-0060,Copia Licencia,Sí,Sí,2025-02-25,No,
DOC-00194,SIN-0061,Factura Reparación,Sí,Sí,2023-11-09,No,
DOC-00195,SIN-0061,Inventario Bienes,Sí,Sí,2023-11-09,No,
DOC-00196,SIN-0061,Fotos Daño,Sí,Sí,2023-10-28,No,
DOC-00197,SIN-0061,Acta Policial,Sí,Sí,2023-11-03,No,
DOC-00198,SIN-0062,Copia Matrícula,Sí,Sí,2023-07-27,No,
DOC-00199,SIN-0062,Denuncia Policial,Sí,Sí,2023-07-22,No,
DOC-00200,SIN-0063,Factura Taller,Sí,Sí,2025-03-04,No,
DOC-00201,SIN-0063,Fotos Daño,Sí,Sí,2025-03-03,No,
DOC-00202,SIN-0064,Copia Licencia,Sí,Sí,2023-09-02,No,
DOC-00203,SIN-0064,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00204,SIN-0064,Factura Taller,No,No,,No,Documento no entregado por el asegurado
DOC-00205,SIN-0064,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00206,SIN-0065,Informe Médico,Sí,Sí,2024-01-16,No,
DOC-00207,SIN-0065,Historia Clínica,Sí,Sí,2024-01-10,No,
DOC-00208,SIN-0065,Factura Hospital,Sí,Sí,2024-01-04,No,
DOC-00209,SIN-0065,Resultados Exámenes,Sí,Sí,2024-01-13,No,
DOC-00210,SIN-0066,Resultados Exámenes,Sí,Sí,2025-02-27,No,
DOC-00211,SIN-0066,Recetas Médicas,Sí,Sí,2025-02-19,No,
DOC-00212,SIN-0066,Informe Médico,Sí,Sí,2025-02-22,No,
DOC-00213,SIN-0067,Inventario Bienes,Sí,Sí,2023-08-03,No,
DOC-00214,SIN-0067,Acta Policial,Sí,Sí,2023-08-06,No,
DOC-00215,SIN-0067,Factura Reparación,Sí,Sí,2023-08-06,No,
DOC-00216,SIN-0068,Resultados Exámenes,Sí,Sí,2023-10-16,No,
DOC-00217,SIN-0068,Historia Clínica,Sí,Sí,2023-10-08,No,
DOC-00218,SIN-0069,Resultados Exámenes,No,No,,No,Documento no entregado por el asegurado
DOC-00219,SIN-0069,Informe Médico,No,No,,No,Documento no entregado por el asegurado
DOC-00220,SIN-0069,Factura Hospital,No,No,,No,Documento no entregado por el asegurado
DOC-00221,SIN-0069,Historia Clínica,No,No,,No,Documento no entregado por el asegurado
DOC-00222,SIN-0070,Informe Perito,Sí,Sí,2024-12-16,No,
DOC-00223,SIN-0070,Copia Matrícula,Sí,Sí,2024-12-12,No,
DOC-00224,SIN-0070,Fotos Daño,Sí,Sí,2024-12-20,No,
DOC-00225,SIN-0070,Factura Taller,No,No,,No,Documento no entregado por el asegurado
DOC-00226,SIN-0071,Informe Médico,Sí,Sí,2023-11-08,No,
DOC-00227,SIN-0071,Historia Clínica,Sí,Sí,2023-11-08,No,
DOC-00228,SIN-0072,Copia Matrícula,No,No,,No,Documento no entregado por el asegurado
DOC-00229,SIN-0072,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00230,SIN-0072,Denuncia Policial,No,No,,No,Documento no entregado por el asegurado
DOC-00231,SIN-0072,Factura Taller,No,No,,No,Documento no entregado por el asegurado
DOC-00232,SIN-0073,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00233,SIN-0073,Factura Taller,Sí,Sí,2023-12-09,No,
DOC-00234,SIN-0074,Acta Policial,Sí,Sí,2025-02-18,No,
DOC-00235,SIN-0074,Fotos Daño,Sí,Sí,2025-02-17,No,
DOC-00236,SIN-0074,Factura Reparación,Sí,Sí,2025-02-05,No,
DOC-00237,SIN-0075,Factura Equipo,Sí,Sí,2023-12-06,No,
DOC-00238,SIN-0075,Acta Policial,Sí,Sí,2023-12-08,No,
DOC-00239,SIN-0075,Informe Técnico,Sí,Sí,2023-12-12,No,
DOC-00240,SIN-0075,Fotos Daño,Sí,Sí,2023-12-09,No,
DOC-00241,SIN-0076,Informe Técnico,Sí,Sí,2023-11-24,No,
DOC-00242,SIN-0076,Cotización Reparación,Sí,Sí,2023-11-20,No,
DOC-00243,SIN-0076,Fotos Daño,Sí,Sí,2023-11-11,No,
DOC-00244,SIN-0076,Factura Equipo,Sí,Sí,2023-11-21,No,
DOC-00245,SIN-0077,Denuncia Policial,Sí,Sí,2023-06-09,No,
DOC-00246,SIN-0077,Informe Perito,Sí,Sí,2023-05-31,No,
DOC-00247,SIN-0078,Informe Perito,Sí,Sí,2024-04-06,No,
DOC-00248,SIN-0078,Copia Licencia,Sí,Sí,2024-04-02,No,
DOC-00249,SIN-0078,Denuncia Policial,Sí,Sí,2024-04-05,No,
DOC-00250,SIN-0079,Copia Matrícula,Sí,Sí,2024-12-20,No,
DOC-00251,SIN-0079,Informe Perito,Sí,Sí,2024-12-25,No,
DOC-00252,SIN-0079,Copia Licencia,Sí,Sí,2024-12-31,No,
DOC-00253,SIN-0080,Denuncia Policial,Sí,Sí,2020-04-08,No,
DOC-00254,SIN-0080,Copia Matrícula,Sí,Sí,2020-04-18,No,
DOC-00255,SIN-0080,Factura Taller,Sí,Sí,2020-04-06,No,
DOC-00256,SIN-0080,Fotos Daño,Sí,Sí,2020-04-08,No,
DOC-00257,SIN-0081,Factura Hospital,Sí,Sí,2024-11-26,No,
DOC-00258,SIN-0081,Recetas Médicas,Sí,Sí,2024-11-27,No,
DOC-00259,SIN-0081,Informe Médico,Sí,Sí,2024-12-03,No,
DOC-00260,SIN-0082,Factura Taller,Sí,Sí,2025-01-31,No,
DOC-00261,SIN-0082,Denuncia Policial,Sí,Sí,2025-01-31,No,
DOC-00262,SIN-0083,Informe Perito,Sí,Sí,2023-09-02,No,
DOC-00263,SIN-0083,Factura Taller,Sí,Sí,2023-09-11,No,
DOC-00264,SIN-0083,Copia Matrícula,Sí,Sí,2023-09-09,No,
DOC-00265,SIN-0084,Fotos Daño,Sí,Sí,2025-04-23,No,
DOC-00266,SIN-0084,Acta Policial,Sí,Sí,2025-05-02,No,
DOC-00267,SIN-0085,Resultados Exámenes,Sí,Sí,2023-03-11,No,
DOC-00268,SIN-0085,Informe Médico,Sí,Sí,2023-03-20,No,
DOC-00269,SIN-0085,Historia Clínica,Sí,Sí,2023-03-18,No,
DOC-00270,SIN-0085,Factura Hospital,No,No,,No,Documento no entregado por el asegurado
DOC-00271,SIN-0086,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00272,SIN-0086,Copia Matrícula,Sí,Sí,2024-03-01,No,
DOC-00273,SIN-0086,Copia Licencia,Sí,Sí,2024-02-29,No,
DOC-00274,SIN-0086,Informe Perito,Sí,Sí,2024-02-24,No,
DOC-00275,SIN-0087,Recetas Médicas,Sí,Sí,2023-08-19,No,
DOC-00276,SIN-0087,Resultados Exámenes,Sí,Sí,2023-08-16,No,
DOC-00277,SIN-0088,Fotos Daño,Sí,Sí,2024-05-04,No,
DOC-00278,SIN-0088,Copia Licencia,Sí,Sí,2024-05-07,No,
DOC-00279,SIN-0088,Factura Taller,Sí,Sí,2024-05-02,No,
DOC-00280,SIN-0088,Informe Perito,Sí,Sí,2024-05-05,No,
DOC-00281,SIN-0089,Recetas Médicas,No,No,,No,Documento no entregado por el asegurado
DOC-00282,SIN-0089,Resultados Exámenes,No,No,,No,Documento no entregado por el asegurado
DOC-00283,SIN-0090,Copia Matrícula,Sí,Sí,2023-05-22,No,
DOC-00284,SIN-0090,Informe Perito,Sí,Sí,2023-06-03,No,
DOC-00285,SIN-0090,Copia Licencia,Sí,Sí,2023-06-05,No,
DOC-00286,SIN-0091,Historia Clínica,Sí,Sí,2023-06-22,No,
DOC-00287,SIN-0091,Resultados Exámenes,No,No,,No,Documento no entregado por el asegurado
DOC-00288,SIN-0092,Copia Matrícula,Sí,Sí,2023-10-12,No,
DOC-00289,SIN-0092,Fotos Daño,Sí,Sí,2023-10-19,No,
DOC-00290,SIN-0093,Informe Médico,Sí,Sí,2023-08-04,No,
DOC-00291,SIN-0093,Resultados Exámenes,Sí,Sí,2023-07-29,No,
DOC-00292,SIN-0093,Recetas Médicas,Sí,Sí,2023-08-06,No,
DOC-00293,SIN-0093,Factura Hospital,Sí,Sí,2023-07-28,No,
DOC-00294,SIN-0094,Informe Médico,Sí,Sí,2024-07-25,No,
DOC-00295,SIN-0094,Póliza Original,Sí,Sí,2024-07-26,No,
DOC-00296,SIN-0094,Copia Cédula Beneficiario,Sí,Sí,2024-07-20,No,
DOC-00297,SIN-0094,Acta de Defunción,Sí,Sí,2024-07-23,No,
DOC-00298,SIN-0095,Fotos Daño,Sí,Sí,2023-09-21,No,
DOC-00299,SIN-0095,Factura Taller,Sí,Sí,2023-09-25,No,
DOC-00300,SIN-0095,Denuncia Policial,Sí,Sí,2023-09-20,No,
DOC-00301,SIN-0096,Informe Médico,No,No,,No,Documento no entregado por el asegurado
DOC-00302,SIN-0096,Historia Clínica,No,No,,No,Documento no entregado por el asegurado
DOC-00303,SIN-0096,Factura Hospital,Sí,Sí,2024-05-22,No,
DOC-00304,SIN-0096,Recetas Médicas,Sí,Sí,2024-05-20,No,
DOC-00305,SIN-0097,Factura Taller,Sí,Sí,2023-08-11,No,
DOC-00306,SIN-0097,Informe Perito,Sí,Sí,2023-08-04,No,
DOC-00307,SIN-0097,Copia Matrícula,Sí,Sí,2023-08-14,No,
DOC-00308,SIN-0098,Resultados Exámenes,Sí,Sí,2024-02-10,No,
DOC-00309,SIN-0098,Recetas Médicas,Sí,Sí,2024-02-12,No,
DOC-00310,SIN-0098,Historia Clínica,Sí,Sí,2024-02-10,No,
DOC-00311,SIN-0098,Informe Médico,Sí,Sí,2024-02-06,No,
DOC-00312,SIN-0099,Fotos Daño,Sí,Sí,2024-09-28,No,
DOC-00313,SIN-0099,Informe Perito,Sí,Sí,2024-09-22,No,
DOC-00314,SIN-0100,Cotización Reparación,Sí,Sí,2024-09-07,No,
DOC-00315,SIN-0100,Factura Equipo,Sí,Sí,2024-09-05,No,
DOC-00316,SIN-0101,Fotos Daño,Sí,Sí,2023-12-15,No,
DOC-00317,SIN-0101,Informe Perito,Sí,Sí,2023-12-17,No,
DOC-00318,SIN-0101,Copia Licencia,Sí,Sí,2023-12-12,No,
DOC-00319,SIN-0101,Denuncia Policial,Sí,Sí,2023-12-22,No,
DOC-00320,SIN-0102,Historia Clínica,Sí,Sí,2023-06-16,No,
DOC-00321,SIN-0102,Informe Médico,Sí,Sí,2023-06-12,No,
DOC-00322,SIN-0102,Factura Hospital,Sí,Sí,2023-06-23,No,
DOC-00323,SIN-0102,Recetas Médicas,Sí,Sí,2023-06-14,No,
DOC-00324,SIN-0103,Recetas Médicas,Sí,Sí,2024-02-29,No,
DOC-00325,SIN-0103,Resultados Exámenes,Sí,Sí,2024-02-24,No,
DOC-00326,SIN-0104,Factura Taller,No,No,2024-12-03,Sí,Valores en factura no coinciden con el informe del perito
DOC-00327,SIN-0104,Copia Matrícula,No,No,2024-12-01,Sí,Valores en factura no coinciden con el informe del perito
DOC-00328,SIN-0105,Historia Clínica,Sí,Sí,2024-11-02,No,
DOC-00329,SIN-0105,Factura Hospital,Sí,Sí,2024-11-05,No,
DOC-00330,SIN-0105,Recetas Médicas,Sí,Sí,2024-11-12,No,
DOC-00331,SIN-0105,Informe Médico,Sí,Sí,2024-11-10,No,
DOC-00332,SIN-0106,Informe Perito,Sí,Sí,2024-12-04,No,
DOC-00333,SIN-0106,Denuncia Policial,Sí,Sí,2024-12-08,No,
DOC-00334,SIN-0107,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
DOC-00335,SIN-0107,Factura Taller,No,No,2025-03-28,Sí,Número de placa diferente al registrado en la póliza
DOC-00336,SIN-0108,Factura Reparación,Sí,Sí,2025-04-25,No,
