id_vehiculo,id_asegurado,placa,chasis,numero_motor,marca,modelo,anio,color,siniestros_periodo_18m,ciudad_registro
VEH-0017,ASE-0061,MZN-9807,EYHKC867XRT98Z2LP,EN1S5K037V,Suzuki,S-Presso,2018,Amarillo,0,Manta
VEH-0018,ASE-0186,PSN-2614,BNWBC3WZHG6L6GG11,17Z0PHLKSY,Mazda,Mazda2,2014,Rojo,2,Quito
VEH-0019,ASE-0095,GLY-8251,B51AVW0KGHVJV8M2T,01S1MEVG69,Ford,EcoSport,2006,Amarillo,0,Guayaquil
VEH-0020,ASE-0018,EXX-2661,ATNXZXSTAVAUK9A3Z,37DDEGU3JP,Toyota,Corolla,2016,Verde,1,Esmeraldas
VEH-0021,ASE-0195,LUN-7503,PNSY0C4YL9967H6ZV,J7ZKUYF5AG,Renault,Logan,2009,Verde,0,Loja
VEH-0022,ASE-0190,MAY-8830,90T9BR4M28P2AK9TM,8RZYCX30CF,Chevrolet,Aveo,2009,Verde,0,Manta
VEH-0023,ASE-0111,AXY-0407,VPAMDWLNKNC669VFN,EKTCRPSCJJ,Hyundai,Accent,2020,Naranja,0,Cuenca
VEH-0024,ASE-0085,PUC-4528,R4YWKWZSFPL1X82LK,2N7G9F2A08,Chevrolet,Captiva,2011,Beige,0,Quito
VEH-0025,ASE-0065,PKE-5723,03C9SPT7ZU3M6UYC2,YMYB9ZP18R,Kia,Picanto,2005,Negro,1,Quito
VEH-0026,ASE-0174,AZR-4512,TMADP8D8ELSGSSRZL,K3D5YZF9JF,Kia,Picanto,2010,Azul,1,Cuenca
VEH-0027,ASE-0189,MHP-2206,GWN0G13CD5GLSJ5UY,WXWM4X30KX,Kia,Cerato,2007,Gris,1,Portoviejo
VEH-0028,ASE-0099,TFX-8026,TU77FFKG4X58SGNVY,PT0RFV3HBH,Ford,EcoSport,2014,Gris,0,Ambato
VEH-0029,ASE-0211,MED-9547,U12RHR1YJ5BJ5C5D3,G1Z5XRX233,Chevrolet,Cruze,2023,Azul,4,Manta
VEH-0030,ASE-0231,PVE-0444,D82795E5J042ZTWJP,RX6DUK7N8L,Mazda,Mazda2,2005,Negro,1,Quito
VEH-0031,ASE-0127,ITS-9043,4MWVTMZBD2SE5RA8G,ZEYF7KYJN6,Mazda,CX-30,2010,Blanco,0,Ibarra
VEH-0032,ASE-0020,TWF-1442,HZAZ39PECN1DL6E21,E9EUAYR0XE,Chevrolet,D-MAX,2018,Naranja,0,Ambato
VEH-0033,ASE-0110,AFY-4850,EKCVWX2Z4YKUT1KB6,8TDTWU997E,Toyota,Land Cruiser,2023,Verde,0,Cuenca
VEH-0034,ASE-0056,PZW-9981,B3TXTP0CUXKLTG3UN,X4ZC014BCR,Toyota,RAV4,2019,Naranja,0,Quito
VEH-0035,ASE-0128,PME-4039,U20FE2J62A3JC0WCS,MTVNJDV0HT,Volkswagen,Amarok,2006,Blanco,3,Quito
VEH-0036,ASE-0183,JGV-4499,PLP0JCNT6F398CSK4,LVAGVLXSWT,Kia,Rio,2011,Amarillo,1,Santo Domingo
VEH-0037,ASE-0086,ANT-1295,Y50DUHTB90D76U0N9,CDE4CVR8HJ,Toyota,Hilux,2015,Verde,0,Cuenca
VEH-0038,ASE-0043,GNU-0558,LDM2RS5C3L0WH5E08,PBK4F85VVD,Ford,EcoSport,2008,Gris,0,Guayaquil
VEH-0039,ASE-0166,GDZ-0156,W7C9GY3D43E8B7R0T,NRM6KREXXY,Chevrolet,Aveo,2020,Verde,0,Guayaquil
VEH-0040,ASE-0206,GFC-8256,AN0S2MVLJAWA3K3SM,WHFJHU3128,Kia,Cerato,2023,Verde,1,Guayaquil
VEH-0041,ASE-0152,GKP-5927,08VVG96TLTCHHUA7G,E074LAW724,Toyota,RAV4,2016,Negro,0,Guayaquil
VEH-0042,ASE-0112,PFK-6237,8YF8Z72HWFLZE188N,98BW78HV7E,Kia,Picanto,2007,Plateado,2,Quito
VEH-0043,ASE-0115,HBL-9902,GZM20BRPFP6MN43W2,HR3BAJDM6F,Hyundai,Accent,2007,Amarillo,0,Riobamba
VEH-0044,ASE-0112,PGY-8831,DGG001JKHBV4FMRKY,WGAFKC4LPT,Chevrolet,Aveo,2013,Negro,0,Quito
VEH-0045,ASE-0058,AWT-6960,VEZDZ3P1HCNU8Z7VH,KP5BVUV9E8,Chevrolet,Tracker,2019,Gris,2,Cuenca
VEH-0046,ASE-0161,GVG-6911,WL03CVV5U7A0W2DEV,W8DD22565J,Chevrolet,Sail,2020,Naranja,0,Guayaquil
VEH-0047,ASE-0226,LCN-2672,H176A3LKTZD5E9R4J,PYGG41254U,Chevrolet,Captiva,2010,Negro,0,Loja
VEH-0048,ASE-0052,GRG-4980,JS70K4TXEBNWF5WMF,61ZKNFV85Y,Ford,EcoSport,2011,Rojo,2,Guayaquil
VEH-0049,ASE-0154,GKG-0762,HX800K65SHKUXWA98,4VWKZSMKLK,Hyundai,Creta,2014,Plateado,2,Guayaquil
VEH-0050,ASE-0036,LUN-4008,Y9JPNB0VG0HU26ZT4,45FDEJ32GZ,Chevrolet,Sail,2015,Negro,1,Loja
VEH-0051,ASE-0218,PXN-8511,BXWXSGDZUP5E9M969,E5FCL9LBRG,Chevrolet,Sail,2010,Naranja,0,Quito
VEH-0052,ASE-0123,PHX-7882,BGNAL4GZXJZMENWF4,KK1WM69M6M,Chevrolet,Cruze,2011,Gris,0,Quito
VEH-0053,ASE-0094,MFC-7846,3NY2XWBD4BDREJ0GZ,APDUX0P6TX,Chevrolet,Cruze,2014,Negro,1,Manta
VEH-0054,ASE-0076,HDY-8988,V7ZSHACDVT82C06YS,9JB355MZRD,Chevrolet,Cruze,2006,Blanco,0,Riobamba
VEH-0055,ASE-0209,PAT-3988,DPS4ZSP6FE094D7SV,RX2X5616ST,Kia,Rio,2018,Beige,0,Quito
VEH-0056,ASE-0058,AVG-7188,ZMU0DYJMZN4V9BYF5,55CTH9BHYP,Chevrolet,Aveo,2012,Negro,4,Cuenca
VEH-0057,ASE-0005,AFV-4372,PVACWXLTGZ8MBHRVX,SY0D2HM48K,Hyundai,Santa Fe,2021,Azul,0,Cuenca
VEH-0058,ASE-0049,GAE-3892,5H4GM1BXZE6SWT8A1,VRW727ZF3D,Ford,Ranger,2024,Naranja,0,Guayaquil
VEH-0059,ASE-0249,ARK-9591,3EW6T4VL1VHG0Z7E0,9FUY02VW80,Chevrolet,Spark,2022,Rojo,0,Cuenca
VEH-0060,ASE-0042,GZE-9214,ZEC2GUMRXZVHYNT3Z,ZBNP3Z8B1G,Nissan,Kicks,2019,Plateado,4,Guayaquil
VEH-0061,ASE-0076,HTH-6535,9C81DBKJF4AS7B7W2,X4K3VC0U8U,Chevrolet,Tracker,2021,Gris,0,Riobamba
VEH-0062,ASE-0244,PFT-0957,U949AZR6XX8ZL78NU,K74N3RB6GT,Toyota,Fortuner,2008,Gris,2,Quito
VEH-0063,ASE-0053,HUS-3063,092Y81FSLCB3VVHJN,XRAZUYX1W0,Hyundai,Elantra,2007,Azul,1,Riobamba
VEH-0064,ASE-0170,GHW-7334,FH135KXK685Y8A5EB,VPVCG10G65,Toyota,Yaris,2009,Gris,0,Guayaquil
VEH-0065,ASE-0239,PKG-1496,VYCZJGW8MZHKCGTLY,ZFV38FL20Y,Chevrolet,Sail,2013,Azul,4,Quito
VEH-0066,ASE-0166,GXR-3502,45EUJ6CCATBWPW6VU,9S2NH21KST,Mazda,CX-5,2017,Azul,1,Guayaquil
VEH-0067,ASE-0041,IKP-6442,8Y81SMHTCNBG6MSSB,9L0U44JUFY,Kia,Cerato,2016,Naranja,0,Ibarra
VEH-0068,ASE-0089,TLX-7105,SWTEFCYGGM0DH30SS,GF4ABVFXBV,Chevrolet,Tracker,2006,Gris,1,Ambato
VEH-0069,ASE-0211,MRH-8762,CR95F4W34GYJ0MRWH,NDG5TPEDSX,Kia,Picanto,2006,Amarillo,0,Manta
VEH-0070,ASE-0174,AEA-2480,UNBUH33NW12ZDESH5,K5PG03WDAY,Chevrolet,Captiva,2015,Verde,1,Cuenca
VEH-0071,ASE-0175,GKR-1642,GVVFVS9W2PE5DH28D,T23XZBNX34,Chevrolet,Spark,2020,Naranja,0,Guayaquil
VEH-0072,ASE-0168,PSA-7714,0W84YRGY3KBWUHFBH,AF92MPWU1C,Chevrolet,D-MAX,2007,Amarillo,1,Quito
VEH-0073,ASE-0117,GEZ-5028,VJPDCK83853VZ8V21,8SSWADCX9Z,Chevrolet,Spark,2012,Azul,3,Guayaquil
VEH-0074,ASE-0211,MLV-6959,VFLHVG17G1HHJH44M,2DC8TA584N,Kia,Sorento,2015,Beige,0,Manta
VEH-0075,ASE-0014,PXR-7585,P8BM52SDULAZNDM5G,JJ8MGPP1NP,Nissan,Versa,2019,Gris,1,Quito
VEH-0076,ASE-0098,GXU-4226,31SAPE6XULTJ5BDFH,J4D1JMV3MP,Chevrolet,Captiva,2016,Naranja,0,Guayaquil
VEH-0077,ASE-0199,IUM-6202,6NKXEF3MXV5CFHLKJ,YJR5MW8PGA,Kia,Rio,2012,Rojo,1,Ibarra
VEH-0078,ASE-0007,MGH-5126,U9DXC7NH1REUFBM75,S57VE8UWS1,Toyota,Land Cruiser,2023,Verde,2,Portoviejo
VEH-0079,ASE-0106,GTB-4542,LA34MSA78SARKHANP,VPF1NNJPH2,Chevrolet,Captiva,2024,Rojo,0,Guayaquil
VEH-0080,ASE-0117,GKX-5687,JXGABUGDJ00HETML3,9S3L48B2CS,Hyundai,Accent,2011,Rojo,1,Guayaquil
VEH-0081,ASE-0009,GJA-3789,1DYGN87F11VESKMBZ,9HRA3WPJ8W,Toyota,Fortuner,2020,Naranja,0,Guayaquil
VEH-0082,ASE-0161,GKU-5622,MFUDTLVYM61AN0JB0,VUTVULS5W5,Hyundai,i10,2010,Negro,0,Guayaquil
VEH-0083,ASE-0048,LLA-3641,XNXLC84GZ2FKPLDYB,7FBDGBYNTX,Chevrolet,Captiva,2023,Rojo,3,Loja
VEH-0084,ASE-0021,PLC-6035,YM1643BXU14CHUDHN,GYV8VV12WZ,Chevrolet,Aveo,2018,Negro,1,Quito
VEH-0085,ASE-0232,LAR-1403,9LN2R0XVH27J8RP09,WU9KKH5A4Z,Chevrolet,Sail,2013,Amarillo,0,Loja
VEH-0086,ASE-0150,AEH-7378,JKVVHCLST604DYB3N,27M6R7D215,Chevrolet,Captiva,2005,Verde,0,Cuenca
VEH-0087,ASE-0188,PFB-0593,91VCR2EMS1VJPR02S,GPVV9UHJRZ,Chevrolet,Aveo,2023,Negro,4,Quito
VEH-0088,ASE-0090,ORU-6791,9REB3GN25DB8754AZ,DRAGUGUJS1,Toyota,Corolla,2009,Blanco,1,Machala
VEH-0089,ASE-0014,PAD-1652,8CYY7MDK6N9T06SWC,G8V0B7LT1A,Chevrolet,D-MAX,2016,Azul,1,Quito
VEH-0090,ASE-0209,PTU-1671,88HMNE1UZ5ZPVRLWR,EYWZGEZ67R,Renault,Stepway,2009,Naranja,4,Quito
VEH-0091,ASE-0196,RVZ-1036,98L14Y1FGEA9XWXWH,AC2E4SYGNS,Nissan,Sentra,2010,Plateado,0,Babahoyo
VEH-0092,ASE-0194,PZK-7066,F8RXZ56R2X40P7VUY,0BDS55JU9B,Chevrolet,Sail,2017,Amarillo,0,Quito
VEH-0093,ASE-0236,PCU-8619,UE4R0D27ZEPRFW0GS,JZ630EDRMU,Volkswagen,Gol,2017,Amarillo,0,Quito
VEH-0094,ASE-0039,LVH-4353,E2BL18KF68A2ATT3X,THYRRWA6KX,Kia,Cerato,2011,Blanco,0,Loja
VEH-0095,ASE-0236,PWV-1968,D9FKY0VV81MB2L642,4CSE5LPGGB,Mazda,CX-5,2023,Amarillo,0,Quito
VEH-0096,ASE-0135,GTL-7928,X7XT1T36HKGDS31GX,PBM3HYZJCK,Toyota,Corolla,2022,Azul,1,Guayaquil
VEH-0097,ASE-0214,GNM-4728,Z73YSX6UM2P14K0LU,GZ36M8KB9X,Kia,Sportage,2010,Naranja,0,Guayaquil
VEH-0098,ASE-0106,GWB-8246,5N4KUFNBGDT36FMS5,LL2D9U9GBN,Chevrolet,Captiva,2021,Negro,0,Guayaquil
VEH-0099,ASE-0197,GJA-8127,LWL6LGKLRDEKAXTGM,LE0KJCXMRE,Chevrolet,Aveo,2020,Blanco,1,Guayaquil
VEH-0100,ASE-0115,HHX-7209,L30ZU91SE37SSZ0SH,H5X7N0Y36R,Chevrolet,Aveo,2005,Negro,1,Riobamba
VEH-0101,ASE-0104,PBT-4766,3LY3UPPXV9NM3W2R2,UHYC7VTWSV,Kia,Sorento,2019,Gris,2,Quito
VEH-0102,ASE-0170,GMV-0263,HEW131YRKXRG5K3Z7,7079WXT45C,Toyota,RAV4,2022,Blanco,0,Guayaquil
VEH-0103,ASE-0101,APL-5473,0PRGFEV4MPK5EAYE6,Y9EE356Z7X,Chevrolet,Aveo,2019,Amarillo,1,Cuenca
VEH-0104,ASE-0061,MTG-2111,J7WBBSNW8C1U51KUU,XJXYZZUWX6,Toyota,Fortuner,2022,Blanco,1,Manta
VEH-0105,ASE-0043,GNU-1247,710VCSFB93XKCT5KE,K5ADFWER3J,Chevrolet,D-MAX,2012,Beige,0,Guayaquil
VEH-0106,ASE-0127,IZN-2112,PNY0FW4BJ4BSSS87H,ZNJURK3NLU,Mazda,CX-5,2006,Negro,2,Ibarra
VEH-0107,ASE-0026,EEA-5295,WSZHZ2UZ9LAACPUZM,0JBXBW6HWE,Toyota,Yaris,2008,Negro,0,Esmeraldas
VEH-0108,ASE-0065,PTC-8485,YCR92ZZ2J2KCN9J3F,C9GNYDURXD,Toyota,Yaris,2019,Rojo,0,Quito
VEH-0109,ASE-0001,GLL-1094,YJ06VU8TR422UA83S,V7MZPX8CU8,Nissan,Frontier,2007,Beige,3,Guayaquil
VEH-0110,ASE-0230,PVK-0601,ZT6RGBA9HN3YT838A,MM0PGYU85U,Chevrolet,Cruze,2023,Plateado,0,Quito
VEH-0111,ASE-0034,PNG-9176,X64DX4C3DWXCGM41P,DZVL8HBFCK,Volkswagen,Gol,2018,Gris,0,Quito
VEH-0112,ASE-0097,HVF-5448,ATAFCY6P32ZGYUP7X,BFT8X2MAHD,Chevrolet,Tracker,2021,Negro,2,Riobamba
VEH-0113,ASE-0050,PZH-6679,E47TF7BNGJX6RDBUF,ATCHRWP16H,Kia,Cerato,2008,Azul,0,Quito
VEH-0114,ASE-0228,PEE-6110,HXFNSGMJMBVKDSP2H,KF386WVHPU,Chevrolet,Sail,2011,Naranja,0,Quito
VEH-0115,ASE-0229,PAL-5227,876PB91TRP3ZDTC1Z,PHMH9AZFSV,Chevrolet,D-MAX,2023,Blanco,3,Quito
VEH-0116,ASE-0001,GTL-6976,C6LBRJ8U32C61B8Z6,DNXNFVC0G9,Chevrolet,D-MAX,2012,Amarillo,2,Guayaquil
VEH-0117,ASE-0083,PSY-4569,JZKCMTUE0ZUKX3838,C6SC6K8DK0,Hyundai,Tucson,2020,Gris,0,Quito
VEH-0118,ASE-0114,XWB-1375,AGA34UMWY2TYUVSV6,L3HNK4EK8X,Toyota,Hilux,2010,Amarillo,1,Latacunga
VEH-0119,ASE-0082,AGC-6695,RNG0Y9ER9UEA7287F,9VTYK6819Z,Toyota,RAV4,2023,Beige,1,Cuenca
VEH-0120,ASE-0216,PMB-0432,MLXGU22GC5Z89PTWT,BZP0RNAMLR,Toyota,RAV4,2022,Negro,0,Quito
VEH-0121,ASE-0109,GCZ-8599,P4WEL9UM7WNAYKFSV,7G4KT4KWT1,Toyota,Hilux,2012,Blanco,1,Guayaquil
VEH-0122,ASE-0046,PSG-0746,ZJDK9C1WV5XSZDTV4,FBL5EFJP7M,Mazda,BT-50,2014,Rojo,1,Quito
VEH-0123,ASE-0083,PYE-5640,4ZKZZDW4AUNTM7DFH,G6X4UUV1DS,Chevrolet,Captiva,2007,Negro,2,Quito
VEH-0124,ASE-0196,RJH-6836,FL1DEZZLG9R2DASRG,BYWS6BKADE,Toyota,Hilux,2024,Plateado,4,Babahoyo
VEH-0125,ASE-0090,OGY-8543,52XTC42U08F1A0775,S0GZD49PTP,Volkswagen,Amarok,2015,Negro,0,Machala
VEH-0126,ASE-0030,PHZ-4596,S1Z4HP9R5637NAZZP,UZDPZ916FN,Chevrolet,D-MAX,2011,Azul,0,Quito
VEH-0127,ASE-0149,LNK-1376,138MZ89TESETH8A14,TAFWLKX2YU,Hyundai,i10,2020,Beige,1,Loja
VEH-0128,ASE-0196,RUE-5946,R7NLNSBV5L0TE0TDZ,YZVS5TNT9X,Chevrolet,Sail,2016,Rojo,0,Babahoyo
VEH-0129,ASE-0161,GCZ-6215,DMMMYJYW7CLMALS5V,6JZW9NNV3D,Hyundai,Accent,2011,Azul,0,Guayaquil
VEH-0130,ASE-0217,ANC-9941,C5HJKV3X80WWKVURM,C4TKYLPJUZ,Ford,F-150,2022,Gris,4,Cuenca
VEH-0131,ASE-0069,GWM-7528,UX2RVXUNEEZKRL4CG,P4YJWPDGJ4,Chevrolet,Aveo,2019,Beige,3,Guayaquil
VEH-0132,ASE-0072,GZF-5395,F58TA5CW56PMYC80E,D17U487J6H,Chevrolet,Captiva,2008,Azul,1,Guayaquil
VEH-0133,ASE-0055,PXW-2749,RJWTN8LPZ867M04A8,W4Y8Z3HVL8,Chevrolet,Spark,2016,Negro,4,Quito
VEH-0134,ASE-0024,GMV-2259,1K5FRL3Y3KC2T17LP,7DFJCP1VLZ,Mazda,Mazda2,2006,Gris,3,Guayaquil
VEH-0135,ASE-0064,MMD-5355,8424Z3LS1JZ43GPG5,86H87YX69G,Toyota,Land Cruiser,2010,Blanco,1,Manta
VEH-0136,ASE-0135,GLH-1652,7RZD0G52KTE5W9KZP,PEKJX6NZSA,Chevrolet,D-MAX,2009,Azul,0,Guayaquil
VEH-0137,ASE-0014,PUB-7783,H6978W1BJXKPN8VWJ,T75ELUEDBE,Chevrolet,Tracker,2013,Azul,0,Quito
VEH-0138,ASE-0081,GSV-9405,T8V7YRGBGSFSD6TR9,VSD0EMGK41,Nissan,Kicks,2013,Naranja,1,Guayaquil
VEH-0139,ASE-0197,GPX-8454,DLK9EN7DLAS0SXJYL,BXR8963E53,Chevrolet,Tracker,2014,Azul,1,Guayaquil
VEH-0140,ASE-0103,ATK-6149,5F2K1YDTR3LZEY4TT,6SVP13XRRB,Mazda,BT-50,2015,Beige,0,Cuenca
VEH-0141,ASE-0112,PHS-6888,3K9ZKJRVV7TTPS03M,W2A1S24BP0,Hyundai,Creta,2015,Naranja,0,Quito
VEH-0142,ASE-0048,LJH-7780,9JZRAPAYSPY10K3XZ,8Z3CEG3ZGA,Chevrolet,Tracker,2020,Gris,0,Loja
VEH-0143,ASE-0109,GBR-9974,FF08S5WGV4BAX0951,WVKTTWXZ3T,Chevrolet,Tracker,2006,Amarillo,0,Guayaquil
VEH-0144,ASE-0241,ACR-8469,RRF0SRTWZ750S60NP,8YMS9FGZCS,Kia,Sportage,2010,Plateado,1,Cuenca
VEH-0145,ASE-0005,ABV-2315,JZF5T3MDHVT9222V6,55WDB83819,Toyota,Hilux,2024,Naranja,0,Cuenca
VEH-0146,ASE-0093,PPV-1086,KRT1DYME5RP2J3MTC,N1MYF1PH3P,Chevrolet,Cruze,2018,Beige,0,Quito
VEH-0147,ASE-0022,PFX-1422,P2RNB7EV99359P605,0LM46XEPY6,Kia,Cerato,2024,Naranja,0,Quito
VEH-0148,ASE-0138,GAV-9614,01E9KDVU1FA3WH209,DBNXMBYEK1,Chevrolet,Tracker,2019,Azul,0,Guayaquil
VEH-0149,ASE-0090,OHP-6428,Z3VEN1DUG2RERPDRE,HCZPV25WY9,Volkswagen,Polo,2020,Verde,0,Machala
VEH-0150,ASE-0055,PEJ-4255,BFV7D5DNKUDLNKAE2,P7LKG1AVCB,Hyundai,i10,2020,Naranja,1,Quito
VEH-0151,ASE-0130,GZG-9625,2ZE1CXXN6MBZRKCFA,X2LYYC8U28,Mazda,Mazda3,2021,Plateado,1,Guayaquil
VEH-0152,ASE-0213,PSU-0649,6R3XPB5ARP5LJDDFE,JCLPFXLABN,Kia,Sorento,2015,Gris,1,Quito
VEH-0153,ASE-0061,MGV-6366,1NDCSPSPH6J8ZJV2L,PCXG8N92UP,Toyota,Fortuner,2022,Beige,1,Manta
VEH-0154,ASE-0124,GST-6869,JZ94H4KFUCC04095G,T368X90KYL,Volkswagen,Gol,2011,Beige,0,Guayaquil
VEH-0155,ASE-0045,HRH-4570,602U2YCB4ZZM34MF2,0AS7RHAK7M,Toyota,Yaris,2007,Naranja,0,Riobamba
VEH-0156,ASE-0156,GGU-1159,G4P5VTVYVZVCECJVH,U2GZ9ZUJVR,Suzuki,Jimny,2018,Blanco,0,Guayaquil
VEH-0157,ASE-0195,LNY-8284,0B7ULNM639HZ87GLC,XARA374JS8,Chevrolet,Cruze,2006,Azul,0,Loja
VEH-0158,ASE-0022,PVU-3191,7N6Z2C3BXRDBB5PXP,52XRSRXDYZ,Ford,Territory,2005,Beige,4,Quito
VEH-0159,ASE-0147,MZW-7998,TMSXGEBEWTYMWUESW,K9UYEH4VBM,Kia,Cerato,2011,Plateado,0,Portoviejo
VEH-0160,ASE-0145,PJV-0546,XPFR3BHAHHXH18L1G,G9MCADKGW2,Chevrolet,Cruze,2006,Blanco,4,Quito
VEH-0161,ASE-0006,PSP-8912,JD4EY6MGSNNFU3XR0,D6EGUZLRX7,Nissan,Sentra,2024,Naranja,0,Quito
VEH-0162,ASE-0131,AAX-5920,6GCSYCT1YTTSLNZ0T,JP7WBHG5PL,Toyota,Hilux,2017,Naranja,4,Cuenca
VEH-0163,ASE-0150,AVX-3419,TMRRNTKARJC6KTVCK,HDMVMZJ124,Kia,Rio,2011,Naranja,0,Cuenca
VEH-0164,ASE-0201,PHM-0814,842AY985H0GHWVS3M,C4R8PR5AE5,Toyota,Hilux,2014,Blanco,4,Quito
VEH-0165,ASE-0138,GSU-9471,WVBE99V37VNN8CNSL,8YLFZF4WAG,Mazda,CX-30,2017,Rojo,0,Guayaquil
VEH-0166,ASE-0106,GKC-4490,9EP1N6G5L3YFVLG0S,G9R4WJLVTS,Chevrolet,Sail,2006,Negro,0,Guayaquil
VEH-0167,ASE-0218,PJL-9806,J61S7GVN8H5KXK700,HT9V9CD2LR,Chevrolet,Spark,2013,Plateado,0,Quito
VEH-0168,ASE-0050,PNZ-3311,AD7L1SCVH8E44FADK,UNC2ZFMHBZ,Kia,Cerato,2011,Beige,0,Quito
VEH-0169,ASE-0014,PWL-6650,BNGJ6GAAA4ZC8D4Y0,BT3LXX7PRH,Volkswagen,Gol,2008,Azul,1,Quito
VEH-0170,ASE-0167,PVF-1507,B6P2T9037VJDLXN72,EF2Z9YCA7R,Kia,Picanto,2021,Plateado,1,Quito
VEH-0171,ASE-0194,PEE-8319,CETGNYH09R5EL2B3P,31H1MGB793,Chevrolet,Captiva,2012,Naranja,0,Quito
VEH-0172,ASE-0163,JAW-1121,7EFV3GTRSFGPWLW8G,5S8MNSPXRF,Chevrolet,Cruze,2020,Blanco,4,Santo Domingo
VEH-0173,ASE-0066,GSA-0723,LKVSL0G7A51NPPP1N,L9C69E7F28,Chevrolet,Cruze,2016,Amarillo,0,Guayaquil
VEH-0174,ASE-0009,GEB-7574,M0AYEW8EJWYFDD0N0,9C75FRZTU6,Chevrolet,Tracker,2023,Rojo,3,Guayaquil
VEH-0175,ASE-0037,PUM-1590,G10AFTD2PPKRFGETT,DVHG13G95R,Kia,Stonic,2024,Negro,0,Quito
VEH-0176,ASE-0125,EVW-5490,DC1AW9DUAW927SMRN,6938YNBMLD,Chevrolet,Cruze,2019,Verde,1,Esmeraldas
VEH-0177,ASE-0064,MMK-6490,XYSPG983AMB3LRXPX,CR779561KG,Chevrolet,Tracker,2009,Amarillo,0,Manta
VEH-0178,ASE-0224,CBP-0265,68SUJF80D9A7LNK0Y,8ZY7XT3LHW,Chevrolet,Captiva,2024,Negro,1,Tulcán
VEH-0179,ASE-0112,PHZ-5460,HDCC171DN58WACU49,LNZ3UWHPUS,Chevrolet,Tracker,2009,Rojo,2,Quito
VEH-0180,ASE-0154,GTW-6772,TZK4VXHK8B3F047H1,7251K37FAN,Kia,Rio,2018,Beige,0,Guayaquil
VEH-0181,ASE-0101,ALF-3440,L35B7LYWRS6G3GYM5,D25N9ZFBMS,Nissan,X-Trail,2006,Negro,0,Cuenca
VEH-0182,ASE-0126,PKS-3190,WF129ZCS4NXRADEY6,HW9SZDWN90,Kia,Cerato,2014,Naranja,0,Quito
VEH-0183,ASE-0143,GWC-0785,2UC4U4Y1GYD5ZARLB,VYCJ1CEK8F,Toyota,Hilux,2005,Plateado,2,Guayaquil
VEH-0184,ASE-0081,GPN-3136,9MUGD4HGK48WHMEXC,JN6PCJRZUC,Chevrolet,Spark,2013,Plateado,1,Guayaquil
VEH-0185,ASE-0098,GUW-7963,WCEDVCYMMK5HAN8ND,7F1L4TU05V,Ford,EcoSport,2024,Negro,0,Guayaquil
VEH-0186,ASE-0153,TPE-6218,PWJZ0YEVJ7YN2ZPSR,MSK8U07HXC,Toyota,Corolla,2014,Verde,3,Ambato
VEH-0187,ASE-0074,AJU-5889,T58PT1ST960PX7100,1J1846UXX8,Hyundai,Accent,2021,Plateado,1,Cuenca
