id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible_pct,deducible_usd,canal_venta,ciudad,estado_poliza
POL-0023,ASE-0220,Salud,2022-04-24,2023-04-24,1192.77,13615.34,0.09,1225.38,Bancaseguros,Loja,Vencida
POL-0024,ASE-0121,Generales,2024-04-17,2025-04-17,1295.42,9044.85,0.06,542.69,Agente,Quito,Vigente
POL-0025,ASE-0160,Salud,2024-06-12,2025-06-12,1688.54,23023.76,0.2,4604.75,Agente,Riobamba,Cancelada
POL-0026,ASE-0052,Vehículos,2024-07-06,2025-07-06,1530.68,17434.19,0.08,1394.74,Broker,Machala,Vigente
POL-0027,ASE-0198,Vehículos,2024-01-25,2025-01-24,474.6,35937.85,0.1,3593.78,Agente,Quito,Vigente
POL-0028,ASE-0040,Hogar,2021-12-21,2022-12-21,863.99,40536.69,0.11,4459.04,Agente,Guayaquil,Vigente
POL-0029,ASE-0176,Vida,2021-01-10,2022-01-10,730.06,16184.87,0.08,1294.79,Broker,Quito,Vigente
POL-0030,ASE-0226,Vehículos,2024-05-23,2025-05-23,1155.88,36626.71,0.09,3296.4,Agente,Ambato,Vigente
POL-0031,ASE-0196,Vida,2024-12-09,2025-12-09,369.31,84147.07,0.19,15987.94,Broker,Quito,Vigente
POL-0032,ASE-0108,Generales,2022-12-21,2023-12-21,1327.56,7116.64,0.2,1423.33,Bancaseguros,Guayaquil,Vigente
POL-0033,ASE-0112,Vehículos,2020-03-20,2021-03-20,1340.39,34813.28,0.14,4873.86,Directo,Cuenca,Vigente
POL-0034,ASE-0057,Hogar,2024-01-09,2025-01-08,1091.0,49851.15,0.19,9471.72,Agente,Riobamba,Vigente
POL-0035,ASE-0129,Salud,2021-02-03,2022-02-03,1751.51,18679.06,0.1,1867.91,Bancaseguros,Guayaquil,Cancelada
POL-0036,ASE-0059,Vehículos,2022-02-22,2023-02-22,2075.37,41845.49,0.14,5858.37,Bancaseguros,Quito,Vigente
POL-0037,ASE-0218,Hogar,2021-09-02,2022-09-02,337.9,25047.47,0.06,1502.85,Digital,Guayaquil,Vigente
POL-0038,ASE-0086,Salud,2020-04-18,2021-04-18,966.5,16137.9,0.09,1452.41,Broker,Guayaquil,Vigente
POL-0039,ASE-0013,Vida,2022-03-16,2023-03-16,552.92,42409.55,0.1,4240.96,Agente,Ibarra,Vigente
POL-0040,ASE-0094,Vehículos,2022-03-24,2023-03-24,1585.6,11378.23,0.16,1820.52,Digital,Cuenca,Vigente
POL-0041,ASE-0003,Vehículos,2023-05-01,2024-04-30,2367.53,6360.57,0.19,1208.51,Broker,Guayaquil,Vigente
POL-0042,ASE-0084,Generales,2020-08-07,2021-08-07,1036.18,6487.68,0.1,648.77,Digital,Quito,Vigente
POL-0043,ASE-0008,Vehículos,2023-09-26,2024-09-25,613.61,44604.51,0.09,4014.41,Digital,Ambato,Suspendida
POL-0044,ASE-0244,Vehículos,2020-06-19,2021-06-19,1371.67,44871.26,0.13,5833.26,Digital,Quito,Vigente
POL-0045,ASE-0100,Vehículos,2020-07-13,2021-07-13,1842.02,29041.08,0.07,2032.88,Agente,Quito,Cancelada
POL-0046,ASE-0207,Vehículos,2021-08-27,2022-08-27,1334.89,33166.38,0.11,3648.3,Agente,Guayaquil,Vigente
POL-0047,ASE-0176,Vehículos,2023-12-10,2024-12-09,1731.08,12085.9,0.11,1329.45,Agente,Guayaquil,Vencida
POL-0048,ASE-0159,Vehículos,2022-01-29,2023-01-29,1061.77,41775.09,0.19,7937.27,Bancaseguros,Guayaquil,Vencida
POL-0049,ASE-0069,Salud,2023-12-01,2024-11-30,1323.88,28512.42,0.2,5702.48,Agente,Guayaquil,Vencida
POL-0050,ASE-0229,Generales,2020-06-18,2021-06-18,477.8,28340.15,0.19,5384.63,Broker,Cuenca,Vencida
POL-0051,ASE-0201,Vehículos,2024-06-13,2025-06-13,1150.42,41003.91,0.19,7790.74,Broker,Quito,Suspendida
POL-0052,ASE-0003,Vehículos,2020-11-19,2021-11-19,1995.05,39397.26,0.15,5909.59,Agente,Ambato,Vigente
POL-0053,ASE-0013,Vehículos,2020-06-10,2021-06-10,1108.25,17780.3,0.18,3200.45,Bancaseguros,Guayaquil,Vigente
POL-0054,ASE-0239,Salud,2021-01-09,2022-01-09,820.54,27662.64,0.17,4702.65,Directo,Manta,Vigente
POL-0055,ASE-0176,Vehículos,2023-11-06,2024-11-05,1324.32,28528.02,0.18,5135.04,Directo,Quito,Cancelada
POL-0056,ASE-0087,Salud,2020-03-06,2021-03-06,365.74,15951.54,0.18,2871.28,Broker,Portoviejo,Vigente
POL-0057,ASE-0026,Vehículos,2024-04-15,2025-04-15,801.65,22717.69,0.07,1590.24,Agente,Loja,Vencida
POL-0058,ASE-0153,Vida,2023-02-01,2024-02-01,380.01,14456.57,0.16,2313.05,Agente,Ambato,Vigente
POL-0059,ASE-0173,Vehículos,2022-01-19,2023-01-19,2318.26,30756.53,0.15,4613.48,Agente,Guayaquil,Cancelada
POL-0060,ASE-0213,Salud,2020-05-14,2021-05-14,1773.85,6203.61,0.09,558.32,Broker,Guayaquil,Vigente
POL-0061,ASE-0174,Salud,2023-06-27,2024-06-26,756.09,10405.8,0.16,1664.93,Directo,Guayaquil,Vigente
POL-0062,ASE-0053,Generales,2023-11-14,2024-11-13,398.15,36404.18,0.09,3276.38,Agente,Ibarra,Cancelada
POL-0063,ASE-0033,Vehículos,2020-03-05,2021-03-05,1299.66,40131.48,0.13,5217.09,Broker,Manta,Cancelada
POL-0064,ASE-0179,Hogar,2024-04-06,2025-04-06,272.01,19936.88,0.09,1794.32,Bancaseguros,Manta,Vigente
POL-0065,ASE-0158,Vehículos,2020-07-11,2021-07-11,2480.02,43216.47,0.1,4321.65,Agente,Guayaquil,Vencida
POL-0066,ASE-0158,Vehículos,2023-06-16,2024-06-15,2415.67,40676.28,0.1,4067.63,Digital,Latacunga,Vencida
POL-0067,ASE-0195,Vehículos,2024-03-16,2025-03-16,1184.98,14745.24,0.14,2064.33,Directo,Ibarra,Vigente
POL-0068,ASE-0038,Salud,2020-04-03,2021-04-03,405.99,14033.65,0.06,842.02,Agente,Loja,Vigente
POL-0069,ASE-0247,Vehículos,2022-09-24,2023-09-24,1612.98,27775.78,0.15,4166.37,Broker,Quito,Vigente
POL-0070,ASE-0102,Vehículos,2023-03-15,2024-03-14,2319.42,22138.93,0.17,3763.62,Directo,Quito,Vigente
POL-0071,ASE-0016,Generales,2020-05-30,2021-05-30,1146.41,24135.74,0.12,2896.29,Agente,Guayaquil,Vigente
POL-0072,ASE-0012,Vehículos,2024-05-12,2025-05-12,907.44,32818.07,0.12,3938.17,Digital,Quito,Vigente
POL-0073,ASE-0069,Salud,2023-11-23,2024-11-22,1374.98,22005.45,0.19,4181.04,Agente,Cuenca,Vigente
POL-0074,ASE-0170,Vida,2021-01-31,2022-01-31,337.83,61324.84,0.14,8585.48,Agente,Guayaquil,Suspendida
POL-0075,ASE-0247,Vehículos,2022-02-06,2023-02-06,443.07,39475.52,0.11,4342.31,Directo,Ambato,Vigente
POL-0076,ASE-0118,Vehículos,2022-02-11,2023-02-11,2177.67,35350.51,0.1,3535.05,Agente,Quito,Vigente
POL-0077,ASE-0003,Salud,2021-03-22,2022-03-22,821.91,9017.0,0.05,450.85,Broker,Quito,Suspendida
POL-0078,ASE-0127,Hogar,2021-03-11,2022-03-11,513.1,49385.46,0.07,3456.98,Agente,Cuenca,Vigente
POL-0079,ASE-0101,Salud,2021-01-11,2022-01-11,989.07,12146.73,0.09,1093.21,Agente,Guayaquil,Cancelada
POL-0080,ASE-0150,Vehículos,2020-05-05,2021-05-05,1789.13,30109.45,0.14,4215.32,Broker,Quito,Vigente
POL-0081,ASE-0200,Hogar,2020-11-02,2021-11-02,421.32,17191.08,0.1,1719.11,Bancaseguros,Ambato,Vigente
POL-0082,ASE-0025,Vehículos,2020-05-22,2021-05-22,2053.66,5609.33,0.14,785.31,Agente,Guayaquil,Vigente
POL-0083,ASE-0165,Vida,2025-01-01,2026-01-01,589.9,47957.94,0.1,4795.79,Broker,Quito,Vigente
POL-0084,ASE-0002,Vehículos,2023-07-28,2024-07-27,1536.13,35572.22,0.19,6758.72,Directo,Quito,Vencida
POL-0085,ASE-0131,Generales,2021-06-02,2022-06-02,439.33,13504.15,0.19,2565.79,Agente,Guayaquil,Vigente
POL-0086,ASE-0023,Vehículos,2022-02-25,2023-02-25,861.88,20703.28,0.07,1449.23,Agente,Portoviejo,Vigente
POL-0087,ASE-0238,Vehículos,2020-01-14,2021-01-13,1824.51,16263.6,0.19,3090.08,Digital,Guayaquil,Vigente
POL-0088,ASE-0237,Vehículos,2022-07-23,2023-07-23,2240.56,18363.32,0.13,2387.23,Broker,Guayaquil,Vencida
POL-0089,ASE-0203,Hogar,2023-01-17,2024-01-17,1057.21,26948.2,0.18,4850.68,Bancaseguros,Santo Domingo,Vigente
POL-0090,ASE-0023,Salud,2020-12-16,2021-12-16,1190.4,19835.48,0.11,2181.9,Agente,Guayaquil,Vencida
POL-0091,ASE-0043,Vehículos,2022-03-20,2023-03-20,2401.83,6857.05,0.09,617.13,Broker,Riobamba,Vigente
POL-0092,ASE-0172,Salud,2024-07-04,2025-07-04,1496.01,27057.63,0.18,4870.37,Digital,Riobamba,Vigente
POL-0093,ASE-0037,Vehículos,2022-07-26,2023-07-26,1493.39,19801.76,0.06,1188.11,Agente,Guayaquil,Vencida
POL-0094,ASE-0119,Salud,2022-08-06,2023-08-06,1342.35,27248.2,0.07,1907.37,Agente,Ambato,Vigente
POL-0095,ASE-0233,Vida,2022-06-30,2023-06-30,670.75,20308.1,0.18,3655.46,Agente,Quito,Vigente
POL-0096,ASE-0058,Generales,2024-01-01,2024-12-31,257.65,31317.7,0.08,2505.42,Broker,Ambato,Vigente
POL-0097,ASE-0180,Vehículos,2020-12-10,2021-12-10,2070.05,8958.99,0.16,1433.44,Digital,Loja,Vigente
POL-0098,ASE-0044,Vehículos,2020-05-18,2021-05-18,2311.81,19102.87,0.17,3247.49,Digital,Quito,Vencida
POL-0099,ASE-0134,Vehículos,2023-03-19,2024-03-18,1917.86,41394.43,0.15,6209.16,Agente,Quito,Suspendida
POL-0100,ASE-0145,Vehículos,2020-07-12,2021-07-12,2022.89,22349.39,0.13,2905.42,Digital,Loja,Vigente
POL-0101,ASE-0055,Vehículos,2023-01-01,2024-01-01,1555.5,19857.14,0.06,1191.43,Digital,Quito,Vencida
POL-0102,ASE-0151,Salud,2024-12-08,2025-12-08,1424.44,12823.68,0.15,1923.55,Agente,Guayaquil,Suspendida
POL-0103,ASE-0121,Vida,2020-12-08,2021-12-08,211.23,73357.99,0.13,9536.54,Directo,Quito,Vigente
POL-0104,ASE-0012,Salud,2023-12-22,2024-12-21,1788.62,6258.6,0.1,625.86,Bancaseguros,Loja,Vencida
POL-0105,ASE-0061,Vehículos,2022-09-07,2023-09-07,2097.42,26399.12,0.14,3695.88,Directo,Guayaquil,Vigente
POL-0106,ASE-0056,Vehículos,2020-05-17,2021-05-17,1188.42,26899.56,0.19,5110.92,Broker,Guayaquil,Vigente
POL-0107,ASE-0131,Generales,2023-04-06,2024-04-05,465.47,21785.72,0.13,2832.14,Agente,Quito,Vigente
POL-0108,ASE-0085,Hogar,2024-12-11,2025-12-11,253.42,21061.65,0.06,1263.7,Agente,Cuenca,Vencida
POL-0109,ASE-0132,Hogar,2020-10-09,2021-10-09,953.99,15061.1,0.07,1054.28,Directo,Portoviejo,Vigente
POL-0110,ASE-0014,Vida,2020-12-29,2021-12-29,549.78,59607.99,0.13,7749.04,Bancaseguros,Guayaquil,Vencida
POL-0111,ASE-0161,Vida,2024-09-13,2025-09-13,237.93,98144.41,0.19,18647.44,Agente,Cuenca,Vigente
POL-0112,ASE-0016,Generales,2021-05-31,2022-05-31,598.43,8103.82,0.2,1620.76,Agente,Machala,Vigente
POL-0113,ASE-0168,Vehículos,2021-03-08,2022-03-08,2341.57,34245.69,0.18,6164.22,Bancaseguros,Ambato,Vigente
POL-0114,ASE-0192,Salud,2020-08-12,2021-08-12,1760.91,6650.97,0.19,1263.68,Digital,Portoviejo,Vigente
POL-0115,ASE-0148,Salud,2023-05-18,2024-05-17,1351.65,22763.5,0.15,3414.53,Agente,Guayaquil,Vigente
POL-0116,ASE-0189,Salud,2023-07-08,2024-07-07,491.37,23369.66,0.15,3505.45,Digital,Ibarra,Vencida
POL-0117,ASE-0013,Vehículos,2021-07-21,2022-07-21,1861.34,42484.18,0.08,3398.73,Agente,Guayaquil,Vigente
POL-0118,ASE-0034,Vida,2020-09-24,2021-09-24,473.72,74524.56,0.18,13414.42,Agente,Babahoyo,Vigente
POL-0119,ASE-0033,Hogar,2023-11-25,2024-11-24,443.7,44784.04,0.16,7165.45,Broker,Quito,Vencida
POL-0120,ASE-0011,Salud,2024-05-09,2025-05-09,1055.01,23982.6,0.11,2638.09,Broker,Quito,Vencida
POL-0121,ASE-0227,Salud,2020-04-06,2021-04-06,893.81,15178.95,0.05,758.95,Bancaseguros,Quito,Vigente
POL-0122,ASE-0212,Vida,2020-04-27,2021-04-27,665.48,40999.09,0.08,3279.93,Directo,Quito,Vigente
POL-0123,ASE-0213,Vehículos,2022-06-20,2023-06-20,1147.3,23276.72,0.19,4422.58,Agente,Quito,Cancelada
POL-0124,ASE-0025,Generales,2023-06-05,2024-06-04,415.02,23804.42,0.06,1428.27,Broker,Guayaquil,Vencida
POL-0125,ASE-0006,Hogar,2023-08-27,2024-08-26,798.21,14799.76,0.11,1627.97,Broker,Cuenca,Vigente
POL-0126,ASE-0227,Salud,2024-07-22,2025-07-22,1413.44,22144.69,0.12,2657.36,Digital,Quito,Vigente
POL-0127,ASE-0097,Vida,2024-11-06,2025-11-06,709.39,64730.66,0.07,4531.15,Broker,Quito,Vigente
POL-0128,ASE-0192,Salud,2022-12-23,2023-12-23,1716.17,10454.24,0.05,522.71,Broker,Quito,Vigente
POL-0129,ASE-0064,Salud,2024-09-20,2025-09-20,1111.82,29134.02,0.09,2622.06,Digital,Cuenca,Vencida
POL-0130,ASE-0159,Vehículos,2022-03-03,2023-03-03,716.76,20675.28,0.06,1240.52,Broker,Portoviejo,Vigente
POL-0131,ASE-0223,Vehículos,2021-02-19,2022-02-19,1281.58,42555.44,0.05,2127.77,Bancaseguros,Guayaquil,Vencida
POL-0132,ASE-0015,Vida,2022-01-21,2023-01-21,725.12,46527.65,0.2,9305.53,Broker,Guayaquil,Vigente
POL-0133,ASE-0107,Vehículos,2024-09-19,2025-09-19,1225.84,43788.5,0.19,8319.82,Agente,Guayaquil,Vigente
POL-0134,ASE-0225,Salud,2024-12-29,2025-12-29,650.8,6014.48,0.11,661.59,Directo,Ambato,Cancelada
POL-0135,ASE-0040,Salud,2020-06-21,2021-06-21,1506.27,19258.2,0.1,1925.82,Digital,Guayaquil,Vencida
POL-0136,ASE-0016,Vehículos,2021-09-12,2022-09-12,2035.49,28248.54,0.17,4802.25,Bancaseguros,Guayaquil,Vigente
POL-0137,ASE-0077,Salud,2023-09-05,2024-09-04,1747.97,5904.44,0.11,649.49,Agente,Cuenca,Vigente
POL-0138,ASE-0051,Vehículos,2023-11-03,2024-11-02,2017.44,17246.78,0.16,2759.48,Agente,Quito,Vencida
POL-0139,ASE-0146,Vehículos,2022-05-03,2023-05-03,1034.83,18751.6,0.14,2625.22,Agente,Guayaquil,Cancelada
POL-0140,ASE-0043,Vehículos,2022-07-18,2023-07-18,2177.67,12590.91,0.11,1385.0,Bancaseguros,Guayaquil,Vencida
POL-0141,ASE-0112,Vehículos,2024-12-11,2025-12-11,585.77,38360.93,0.2,7672.19,Broker,Manta,Vigente
POL-0142,ASE-0066,Vehículos,2021-03-19,2022-03-19,1797.48,36433.22,0.19,6922.31,Digital,Quito,Vigente
POL-0143,ASE-0190,Vehículos,2021-12-04,2022-12-04,1565.09,42633.53,0.1,4263.35,Bancaseguros,Ambato,Vigente
POL-0144,ASE-0173,Salud,2020-11-05,2021-11-05,1072.03,7535.3,0.13,979.59,Bancaseguros,Quito,Vencida
POL-0145,ASE-0227,Generales,2020-03-21,2021-03-21,866.24,23683.03,0.2,4736.61,Agente,Quito,Vigente
POL-0146,ASE-0244,Vehículos,2023-11-08,2024-11-07,1953.8,29707.97,0.19,5644.51,Directo,Quito,Vigente
POL-0147,ASE-0038,Vehículos,2023-08-02,2024-08-01,1053.38,14604.08,0.17,2482.69,Broker,Loja,Vencida
POL-0148,ASE-0022,Vehículos,2023-09-09,2024-09-08,1833.67,29031.41,0.09,2612.83,Agente,Guayaquil,Vigente
POL-0149,ASE-0052,Hogar,2023-02-20,2024-02-20,439.42,22231.09,0.07,1556.18,Broker,Quito,Vigente
POL-0150,ASE-0248,Vehículos,2021-07-30,2022-07-30,2445.63,42889.39,0.08,3431.15,Agente,Riobamba,Vencida
POL-0151,ASE-0094,Generales,2023-09-27,2024-09-26,914.54,7016.11,0.08,561.29,Directo,Guayaquil,Vigente
POL-0152,ASE-0067,Vehículos,2021-02-18,2022-02-18,472.94,42974.55,0.15,6446.18,Digital,Quito,Suspendida
POL-0153,ASE-0020,Vehículos,2020-06-10,2021-06-10,1168.27,33256.23,0.15,4988.43,Agente,Cuenca,Vigente
POL-0154,ASE-0128,Vehículos,2022-04-10,2023-04-10,2458.29,6119.58,0.09,550.76,Digital,Latacunga,Vigente
POL-0155,ASE-0222,Vehículos,2022-08-14,2023-08-14,1219.85,36134.48,0.15,5420.17,Agente,Quito,Vigente
POL-0156,ASE-0173,Hogar,2021-07-04,2022-07-04,996.07,28973.94,0.11,3187.13,Broker,Guayaquil,Vigente
POL-0157,ASE-0183,Hogar,2024-01-15,2025-01-14,468.25,41494.48,0.17,7054.06,Agente,Ambato,Vencida
POL-0158,ASE-0231,Salud,2023-07-25,2024-07-24,599.05,13387.59,0.2,2677.52,Broker,Quito,Vigente
POL-0159,ASE-0112,Vehículos,2022-01-29,2023-01-29,2481.37,27572.71,0.09,2481.54,Bancaseguros,Santo Domingo,Vencida
POL-0160,ASE-0099,Vehículos,2024-01-31,2025-01-30,1455.86,28785.89,0.19,5469.32,Digital,Guayaquil,Vigente
POL-0161,ASE-0017,Vehículos,2022-06-01,2023-06-01,988.75,13344.87,0.06,800.69,Bancaseguros,Guayaquil,Vigente
POL-0162,ASE-0088,Vehículos,2021-08-07,2022-08-07,1524.52,19797.56,0.19,3761.54,Agente,Manta,Vigente
POL-0163,ASE-0147,Vehículos,2021-11-11,2022-11-11,2367.38,42011.72,0.19,7982.23,Bancaseguros,Guayaquil,Vigente
POL-0164,ASE-0079,Vehículos,2022-11-06,2023-11-06,1117.55,8501.53,0.16,1360.24,Bancaseguros,Ibarra,Cancelada
POL-0165,ASE-0153,Vehículos,2020-10-19,2021-10-19,2373.9,17923.86,0.14,2509.34,Directo,Guayaquil,Vencida
POL-0166,ASE-0102,Vehículos,2021-09-10,2022-09-10,781.62,38769.58,0.18,6978.52,Broker,Quito,Cancelada
POL-0167,ASE-0062,Salud,2020-01-28,2021-01-27,1771.26,16330.01,0.07,1143.1,Agente,Guayaquil,Vencida
POL-0168,ASE-0095,Hogar,2024-05-10,2025-05-10,1187.3,38130.99,0.09,3431.79,Bancaseguros,Guayaquil,Suspendida
POL-0169,ASE-0099,Vehículos,2020-09-07,2021-09-07,1000.42,42325.01,0.2,8465.0,Agente,Guayaquil,Vencida
POL-0170,ASE-0245,Salud,2021-06-26,2022-06-26,1175.28,21266.63,0.09,1914.0,Bancaseguros,Cuenca,Vigente
POL-0171,ASE-0230,Hogar,2020-11-18,2021-11-18,1016.58,47520.26,0.1,4752.03,Agente,Guayaquil,Vencida
POL-0172,ASE-0082,Vida,2024-12-19,2025-12-19,616.96,37805.16,0.06,2268.31,Bancaseguros,Guayaquil,Cancelada
POL-0173,ASE-0146,Vehículos,2022-04-25,2023-04-25,2017.67,13800.43,0.08,1104.03,Agente,Tulcán,Vigente
POL-0174,ASE-0247,Vehículos,2023-10-26,2024-10-25,462.97,41146.68,0.15,6172.0,Digital,Riobamba,Vigente
POL-0175,ASE-0188,Vehículos,2020-09-06,2021-09-06,1514.74,24827.3,0.1,2482.73,Agente,Cuenca,Cancelada
POL-0176,ASE-0043,Hogar,2020-10-17,2021-10-17,279.4,47140.69,0.16,7542.51,Directo,Guayaquil,Vigente
POL-0177,ASE-0115,Generales,2020-07-08,2021-07-08,946.23,37065.26,0.1,3706.53,Digital,Cuenca,Vigente
POL-0178,ASE-0054,Hogar,2022-01-12,2023-01-12,857.94,42257.11,0.16,6761.14,Agente,Guayaquil,Vigente
POL-0179,ASE-0046,Salud,2022-06-05,2023-06-05,1058.23,27229.5,0.12,3267.54,Digital,Guayaquil,Cancelada
POL-0180,ASE-0069,Vehículos,2024-09-24,2025-09-24,2269.62,32211.05,0.12,3865.33,Agente,Ambato,Cancelada
POL-0181,ASE-0029,Hogar,2022-10-15,2023-10-15,1164.87,16147.81,0.18,2906.61,Digital,Guayaquil,Vigente
POL-0182,ASE-0240,Vehículos,2024-07-28,2025-07-28,1852.15,32068.22,0.11,3527.5,Broker,Portoviejo,Vigente
POL-0183,ASE-0088,Vehículos,2024-11-27,2025-11-27,709.93,34678.87,0.19,6588.99,Agente,Portoviejo,Vigente
POL-0184,ASE-0119,Vida,2022-07-16,2023-07-16,429.48,21885.12,0.15,3282.77,Agente,Portoviejo,Vigente
POL-0185,ASE-0105,Vehículos,2021-01-20,2022-01-20,407.15,12799.17,0.09,1151.93,Broker,Guayaquil,Vencida
POL-0186,ASE-0016,Salud,2023-08-15,2024-08-14,1687.5,25685.37,0.14,3595.95,Broker,Cuenca,Vencida
POL-0187,ASE-0092,Vehículos,2024-07-27,2025-07-27,1322.59,11100.03,0.13,1443.0,Digital,Latacunga,Vigente
POL-0188,ASE-0007,Salud,2022-01-22,2023-01-22,1078.72,13137.09,0.2,2627.42,Digital,Guayaquil,Vigente
POL-0189,ASE-0010,Vehículos,2020-02-21,2021-02-20,1416.07,41830.99,0.15,6274.65,Agente,Ibarra,Vencida
POL-0190,ASE-0187,Vehículos,2020-09-19,2021-09-19,791.25,7628.5,0.12,915.42,Digital,Cuenca,Vigente
POL-0191,ASE-0217,Vehículos,2021-02-03,2022-02-03,455.59,9796.6,0.1,979.66,Agente,Quito,Vigente
POL-0192,ASE-0248,Salud,2023-03-20,2024-03-19,485.13,22307.49,0.19,4238.42,Bancaseguros,Machala,Vencida
POL-0193,ASE-0196,Vida,2022-03-26,2023-03-26,557.91,57617.79,0.06,3457.07,Agente,Cuenca,Cancelada
POL-0194,ASE-0043,Salud,2020-03-12,2021-03-12,597.17,9961.49,0.14,1394.61,Agente,Guayaquil,Vigente
POL-0195,ASE-0090,Vehículos,2023-12-23,2024-12-22,2028.69,11166.99,0.08,893.36,Broker,Ibarra,Vigente
POL-0196,ASE-0185,Generales,2020-02-24,2021-02-23,483.11,26032.66,0.16,4165.23,Broker,Quito,Vigente
POL-0197,ASE-0220,Vida,2022-09-19,2023-09-19,373.58,80568.37,0.16,12890.94,Agente,Machala,Cancelada
POL-0198,ASE-0248,Vehículos,2023-06-14,2024-06-13,2275.83,19089.96,0.15,2863.49,Bancaseguros,Machala,Vencida
POL-0199,ASE-0055,Vehículos,2021-04-25,2022-04-25,716.63,10934.34,0.15,1640.15,Digital,Esmeraldas,Vigente
POL-0200,ASE-0209,Hogar,2022-06-25,2023-06-25,815.95,17527.26,0.18,3154.91,Bancaseguros,Quito,Vigente
POL-0201,ASE-0155,Vida,2023-05-30,2024-05-29,336.76,25687.57,0.18,4623.76,Agente,Guayaquil,Vigente
POL-0202,ASE-0177,Vehículos,2023-11-21,2024-11-20,2041.6,38132.22,0.08,3050.58,Agente,Guayaquil,Vigente
POL-0203,ASE-0091,Vehículos,2021-04-06,2022-04-06,1288.78,10168.11,0.06,610.09,Digital,Quito,Vigente
POL-0204,ASE-0090,Hogar,2020-03-12,2021-03-12,291.64,27720.78,0.06,1663.25,Digital,Ibarra,Vigente
POL-0205,ASE-0250,Hogar,2022-07-29,2023-07-29,387.44,9913.59,0.14,1387.9,Agente,Quito,Vigente
POL-0206,ASE-0202,Vida,2020-09-04,2021-09-04,674.5,78804.21,0.17,13396.72,Broker,Quito,Suspendida
POL-0207,ASE-0052,Hogar,2022-02-19,2023-02-19,214.16,9620.12,0.07,673.41,Agente,Guayaquil,Vencida
POL-0208,ASE-0102,Salud,2020-07-23,2021-07-23,1567.98,13855.52,0.17,2355.44,Agente,Quito,Cancelada
POL-0209,ASE-0142,Salud,2021-03-31,2022-03-31,1137.41,27323.71,0.13,3552.08,Bancaseguros,Portoviejo,Vigente
POL-0210,ASE-0247,Salud,2021-01-09,2022-01-09,1745.49,22652.17,0.12,2718.26,Agente,Guayaquil,Vigente
