id_asegurado,segmento,antiguedad_cliente_años,ciudad,num_polizas_activas,reclamos_ultimos_12m,mora_actual,score_cliente_simulado,es_perfil_riesgo
ASE-0154,Natural,10.4,Guayaquil,3,3,No,0.18,Sí
ASE-0155,Natural,11.5,Manta,1,1,No,0.99,No
ASE-0156,Natural,12.0,Guayaquil,3,0,No,0.57,No
ASE-0157,Jurídico,8.7,Quito,2,0,No,0.79,No
ASE-0158,Natural,4.0,Portoviejo,5,6,No,0.32,Sí
ASE-0159,Natural,10.2,Guayaquil,4,1,No,0.76,No
ASE-0160,Natural,14.2,Quito,5,0,No,0.58,No
ASE-0161,Natural,12.8,Guayaquil,2,2,No,0.66,No
ASE-0162,Natural,8.8,Cuenca,5,0,No,0.66,No
ASE-0163,Natural,10.0,Santo Domingo,3,0,Sí,0.99,No
ASE-0164,Natural,13.7,Guayaquil,4,2,No,0.99,No
ASE-0165,Natural,5.6,Guayaquil,2,0,No,0.82,No
ASE-0166,Natural,10.4,Guayaquil,2,2,No,0.9,No
ASE-0167,Natural,11.9,Quito,1,2,No,0.57,No
ASE-0168,Natural,5.2,Quito,4,0,No,0.96,No
ASE-0169,Natural,13.7,Ibarra,2,5,No,0.29,Sí
ASE-0170,Natural,4.8,Guayaquil,3,1,No,0.99,No
ASE-0171,Natural,14.5,Guayaquil,4,0,No,0.61,No
ASE-0172,Natural,6.2,Quito,3,1,No,0.59,No
ASE-0173,Natural,4.3,Guayaquil,4,2,No,0.89,No
ASE-0174,Natural,7.3,Cuenca,5,0,No,0.85,No
ASE-0175,Natural,1.4,Guayaquil,4,2,No,0.65,No
ASE-0176,Jurídico,1.2,Guayaquil,1,1,No,0.6,No
ASE-0177,Natural,8.3,Cuenca,4,0,No,0.66,No
ASE-0178,Natural,8.3,Quito,5,2,No,0.86,No
ASE-0179,Natural,12.6,Quito,5,1,No,0.84,No
ASE-0180,Natural,3.7,Santo Domingo,4,0,No,0.86,No
ASE-0181,Natural,5.8,Guayaquil,3,0,Sí,0.99,No
ASE-0182,Natural,12.5,Guayaquil,1,0,No,0.98,No
ASE-0183,Natural,1.2,Santo Domingo,3,2,No,0.99,No
ASE-0184,Jurídico,11.6,Esmeraldas,2,4,No,0.12,Sí
ASE-0185,Natural,2.6,Quito,5,0,Sí,0.7,No
ASE-0186,Natural,8.3,Quito,2,0,No,0.99,No
ASE-0187,Natural,12.0,Quito,2,0,No,0.56,No
ASE-0188,Natural,11.3,Quito,5,5,No,0.12,Sí
ASE-0189,Natural,7.9,Portoviejo,1,6,No,0.37,Sí
ASE-0190,Natural,11.9,Manta,5,2,No,0.57,No
ASE-0191,Natural,7.4,Quito,4,0,No,0.58,No
ASE-0192,Jurídico,1.7,Cuenca,5,6,No,0.13,Sí
ASE-0193,Jurídico,9.2,Ambato,3,5,No,0.23,Sí
ASE-0194,Natural,2.2,Quito,5,0,No,0.91,No
ASE-0195,Jurídico,6.5,Loja,4,1,No,0.95,No
ASE-0196,Natural,10.1,Babahoyo,3,1,No,0.74,No
ASE-0197,Natural,12.6,Guayaquil,1,1,No,0.58,No
ASE-0198,Jurídico,8.6,Guayaquil,5,1,No,0.92,No
ASE-0199,Natural,5.6,Ibarra,4,2,No,0.61,No
ASE-0200,Natural,5.6,Loja,5,1,No,0.82,No
ASE-0201,Jurídico,2.1,Quito,5,1,No,0.65,No
ASE-0202,Jurídico,6.7,Guayaquil,5,2,No,0.65,No
ASE-0203,Jurídico,8.6,Guayaquil,5,2,No,0.85,No
ASE-0204,Natural,4.5,Guayaquil,3,1,No,0.56,No
ASE-0205,Natural,8.7,Riobamba,4,0,Sí,0.94,No
ASE-0206,Jurídico,8.2,Guayaquil,4,0,No,0.59,No
ASE-0207,Natural,5.2,Santo Domingo,5,1,No,0.69,No
ASE-0208,Natural,9.5,Cuenca,1,0,No,0.62,No
ASE-0209,Natural,6.5,Quito,2,1,No,0.82,No
ASE-0210,Natural,10.3,Cuenca,5,6,No,0.14,Sí
ASE-0211,Natural,14.8,Manta,1,0,Sí,0.65,No
ASE-0212,Natural,11.6,Quito,3,0,No,0.9,No
ASE-0213,Natural,6.0,Quito,2,6,No,0.16,Sí
ASE-0214,Jurídico,13.0,Guayaquil,1,1,No,0.58,No
ASE-0215,Natural,8.8,Guayaquil,5,0,No,0.94,No
ASE-0216,Natural,0.8,Quito,3,1,No,0.6,No
ASE-0217,Natural,13.8,Cuenca,1,1,No,0.92,No
ASE-0218,Natural,8.1,Quito,4,6,No,0.31,Sí
ASE-0219,Jurídico,2.9,Quito,5,0,No,0.7,No
ASE-0220,Natural,5.6,Ambato,2,0,No,0.96,No
ASE-0221,Jurídico,2.7,Quito,1,4,No,0.16,Sí
ASE-0222,Natural,8.7,Guayaquil,5,1,No,0.76,No
ASE-0223,Jurídico,14.8,Manta,3,2,No,0.84,No
ASE-0224,Natural,7.3,Tulcán,3,0,No,0.75,No
ASE-0225,Natural,5.0,Guayaquil,4,1,Sí,0.78,No
ASE-0226,Natural,13.0,Loja,1,1,No,0.58,No
ASE-0227,Jurídico,14.3,Guayaquil,1,1,No,0.81,No
ASE-0228,Natural,9.3,Quito,5,2,No,0.63,No
ASE-0229,Natural,12.6,Quito,1,3,No,0.38,Sí
ASE-0230,Natural,14.9,Quito,5,0,No,0.87,No
ASE-0231,Natural,6.1,Quito,3,1,No,0.96,No
ASE-0232,Natural,1.9,Loja,4,5,No,0.12,Sí
ASE-0233,Natural,9.2,Esmeraldas,2,2,No,0.98,No
ASE-0234,Jurídico,5.0,Quito,4,0,No,0.96,No
ASE-0235,Jurídico,6.0,Quito,3,0,No,0.69,No
ASE-0236,Jurídico,13.7,Quito,1,2,No,1.0,No
ASE-0237,Jurídico,5.0,Quito,2,1,No,0.56,No
ASE-0238,Jurídico,2.5,Guayaquil,1,0,No,0.65,No
ASE-0239,Natural,12.6,Quito,5,2,Sí,0.9,No
ASE-0240,Natural,6.0,Esmeraldas,2,2,No,0.61,No
ASE-0241,Natural,2.9,Cuenca,4,2,Sí,0.91,No
ASE-0242,Natural,6.9,Guayaquil,3,2,No,0.66,No
ASE-0243,Jurídico,5.0,Cuenca,4,0,No,0.79,No
ASE-0244,Natural,14.8,Quito,4,2,No,0.98,No
ASE-0245,Jurídico,14.5,Santo Domingo,2,2,No,0.79,No
ASE-0246,Natural,7.5,Guayaquil,3,5,No,0.12,Sí
ASE-0247,Natural,11.6,Quito,3,3,No,0.2,Sí
ASE-0248,Natural,13.7,Guayaquil,4,1,No,0.59,No
ASE-0249,Natural,7.8,Cuenca,2,1,No,0.57,No
ASE-0250,Jurídico,14.0,Latacunga,3,4,No,0.11,Sí
