id_siniestro,id_poliza,id_asegurado,ramo,cobertura,monto_reclamado,score_riesgo,semaforo,prob_fraude_ml,pred_fraude_ml,nivel_riesgo_ml,etiqueta_fraude_simulada
SIN-0024,POL-0052,ASE-0003,Vehículos,Robo,34998.25,41,Amarillo,0.708760729888758,1,Alto,1
SIN-0025,POL-0192,ASE-0248,Vehículos,Robo,13136.93,0,Verde,0.07595029273820114,0,Bajo,0
SIN-0026,POL-0264,ASE-0029,Vehículos,Responsabilidad Civil,11901.31,0,Verde,0.06531513865173495,0,Bajo,0
SIN-0027,POL-0086,ASE-0023,Vida,Invalidez Total,19298.97,96,Rojo,0.8235853638022516,1,Alto,1
SIN-0028,POL-0283,ASE-0220,Vida,Fallecimiento,14714.53,26,Verde,0.1682235288632086,0,Bajo,0
SIN-0029,POL-0243,ASE-0048,Salud,Atención Médica,1641.83,11,Verde,0.04799295879600221,0,Bajo,0
SIN-0030,POL-0198,ASE-0248,Vida,Invalidez Total,47600.59,17,Verde,0.11112754050297184,0,Bajo,0
SIN-0031,POL-0032,ASE-0108,Vehículos,Daño Parcial,2045.3,0,Verde,0.08256998202885864,0,Bajo,0
SIN-0032,POL-0293,ASE-0058,Vehículos,Choque,2178.49,11,Verde,0.061881634206350705,0,Bajo,0
SIN-0033,POL-0003,ASE-0188,Vehículos,Daño Parcial,1158.85,71,Amarillo,0.6520348961058763,1,Alto,1
SIN-0034,POL-0163,ASE-0147,Vida,Invalidez Parcial,12069.14,45,Amarillo,0.2302319167799412,0,Bajo,0
SIN-0035,POL-0264,ASE-0029,Vehículos,Robo,8597.51,5,Verde,0.11354865530631597,0,Bajo,0
SIN-0036,POL-0069,ASE-0247,Salud,Emergencia,767.6,71,Amarillo,0.3226383143811715,0,Medio,0
SIN-0037,POL-0108,ASE-0085,Salud,Hospitalización,1151.47,14,Verde,0.09466394865428031,0,Bajo,0
SIN-0038,POL-0260,ASE-0070,Vehículos,Daño Parcial,1881.84,28,Verde,0.1414350919427654,0,Bajo,0
SIN-0039,POL-0249,ASE-0173,Vida,Invalidez Total,34917.94,94,Rojo,0.8349051507282074,1,Alto,1
SIN-0040,POL-0079,ASE-0101,Generales,Daño Equipos,4676.55,14,Verde,0.037875465388009656,0,Bajo,0
SIN-0041,POL-0113,ASE-0168,Vehículos,Volcadura,5174.01,26,Verde,0.1450216249906915,0,Bajo,0
SIN-0042,POL-0197,ASE-0220,Vehículos,Volcadura,7766.75,71,Amarillo,0.40408745058216305,0,Medio,0
SIN-0043,POL-0098,ASE-0044,Vehículos,Responsabilidad Civil,7089.32,26,Verde,0.036129567650270616,0,Bajo,0
SIN-0044,POL-0068,ASE-0038,Hogar,Robo Contenido,1781.53,10,Verde,0.11712886719542402,0,Bajo,0
SIN-0045,POL-0134,ASE-0225,Salud,Hospitalización,4024.04,56,Amarillo,0.4170366307220714,0,Medio,0
SIN-0046,POL-0174,ASE-0247,Vehículos,Robo,9613.55,83,Rojo,0.955520299308588,1,Alto,1
SIN-0047,POL-0270,ASE-0019,Hogar,Daño por Agua,2540.08,13,Verde,0.06598392024117564,0,Bajo,0
SIN-0048,POL-0073,ASE-0069,Vehículos,Volcadura,4888.16,89,Rojo,0.911927476562317,1,Alto,1
SIN-0049,POL-0221,ASE-0214,Vehículos,Daño Parcial,2448.72,71,Amarillo,0.32916084971876375,0,Medio,0
SIN-0050,POL-0131,ASE-0223,Vehículos,Choque,41763.35,87,Rojo,0.9517702252519953,1,Alto,1
SIN-0051,POL-0009,ASE-0177,Vehículos,Volcadura,3177.4,92,Rojo,0.9279562350275498,1,Alto,1
SIN-0052,POL-0089,ASE-0203,Vehículos,Volcadura,26200.87,87,Rojo,0.9483207634562002,1,Alto,1
SIN-0053,POL-0080,ASE-0150,Vehículos,Pérdida Total,30216.62,56,Amarillo,0.34865848425936646,0,Medio,0
SIN-0054,POL-0104,ASE-0012,Vida,Fallecimiento,21993.82,49,Amarillo,0.530244851756044,1,Medio,0
SIN-0055,POL-0025,ASE-0160,Vehículos,Pérdida Total,23854.95,18,Verde,0.09744346602318536,0,Bajo,0
SIN-0056,POL-0191,ASE-0217,Vehículos,Robo,9190.56,87,Rojo,0.9831129116944147,1,Alto,1
SIN-0057,POL-0039,ASE-0013,Vida,Invalidez Total,33355.27,41,Amarillo,0.2865946896094784,0,Bajo,0
SIN-0058,POL-0254,ASE-0119,Vehículos,Robo,14707.4,80,Rojo,0.8980962533241397,1,Alto,1
SIN-0059,POL-0162,ASE-0088,Salud,Emergencia,18433.32,96,Rojo,0.9659444644482251,1,Alto,1
SIN-0060,POL-0121,ASE-0227,Vehículos,Robo,22779.3,26,Verde,0.10151743958948295,0,Bajo,0
SIN-0061,POL-0071,ASE-0016,Hogar,Responsabilidad Civil,8737.12,12,Verde,0.07140515753587443,0,Bajo,0
SIN-0062,POL-0174,ASE-0247,Vehículos,Robo Parcial,2473.85,13,Verde,0.03528138954612244,0,Bajo,0
SIN-0063,POL-0282,ASE-0201,Vehículos,Volcadura,19498.3,19,Verde,0.085726889879533,0,Bajo,0
SIN-0064,POL-0300,ASE-0244,Vehículos,Robo,16678.36,80,Rojo,0.9927756967769177,1,Alto,1
SIN-0065,POL-0214,ASE-0247,Salud,Atención Médica,2515.09,11,Verde,0.0743386742919562,0,Bajo,0
SIN-0066,POL-0221,ASE-0214,Salud,Atención Médica,2026.93,48,Amarillo,0.20135312516149104,0,Bajo,0
SIN-0067,POL-0253,ASE-0002,Hogar,Incendio,25545.36,26,Verde,0.1360495432093289,0,Bajo,0
SIN-0068,POL-0180,ASE-0069,Salud,Maternidad,3093.93,5,Verde,0.11423130172121149,0,Bajo,0
SIN-0069,POL-0163,ASE-0147,Salud,Cirugía,11072.35,56,Amarillo,0.34252849492056464,0,Medio,0
SIN-0070,POL-0187,ASE-0092,Vehículos,Volcadura,10530.54,80,Rojo,0.9467254802674172,1,Alto,1
SIN-0071,POL-0195,ASE-0090,Salud,Maternidad,10847.72,93,Rojo,0.8637076217990249,1,Alto,1
SIN-0072,POL-0117,ASE-0013,Vehículos,Robo,40113.39,87,Rojo,0.9593940309991354,1,Alto,1
SIN-0073,POL-0090,ASE-0023,Vehículos,Volcadura,5902.28,86,Rojo,0.9334238127221761,1,Alto,1
SIN-0074,POL-0179,ASE-0046,Hogar,Incendio,22594.09,10,Verde,0.15074199178883457,0,Bajo,0
SIN-0075,POL-0083,ASE-0165,Generales,Incendio Comercial,21623.04,19,Verde,0.07135265253439707,0,Bajo,0
SIN-0076,POL-0201,ASE-0155,Generales,Daño Equipos,6948.68,11,Verde,0.09692722451117866,0,Bajo,0
SIN-0077,POL-0289,ASE-0087,Vehículos,Volcadura,11151.23,10,Verde,0.11812973964991105,0,Bajo,0
SIN-0078,POL-0096,ASE-0058,Vehículos,Robo,36778.45,20,Verde,0.0976699312204245,0,Bajo,0
SIN-0079,POL-0182,ASE-0240,Vehículos,Choque,5438.09,76,Rojo,0.6527846142904764,1,Alto,1
SIN-0080,POL-0204,ASE-0090,Vehículos,Choque,2766.67,45,Amarillo,0.21183465756913109,0,Bajo,0
SIN-0081,POL-0272,ASE-0181,Salud,Cirugía,8219.73,57,Amarillo,0.3859634089381083,0,Medio,1
SIN-0082,POL-0266,ASE-0075,Vehículos,Robo Parcial,1577.16,0,Verde,0.10817378739849604,0,Bajo,0
SIN-0083,POL-0299,ASE-0139,Vehículos,Robo,23644.08,21,Verde,0.1418087144422318,0,Bajo,0
SIN-0084,POL-0252,ASE-0073,Hogar,Robo Contenido,29810.54,96,Rojo,0.8346787950300778,1,Alto,1
SIN-0085,POL-0238,ASE-0170,Salud,Cirugía,6804.72,56,Amarillo,0.30952608473550564,0,Medio,0
SIN-0086,POL-0111,ASE-0161,Vehículos,Robo,21447.89,71,Amarillo,0.4824123910998184,0,Medio,0
SIN-0087,POL-0109,ASE-0132,Salud,Cirugía,3413.55,26,Verde,0.06484552022070866,0,Bajo,0
SIN-0088,POL-0296,ASE-0075,Vehículos,Choque,4632.48,19,Verde,0.03071756358540764,0,Bajo,0
SIN-0089,POL-0263,ASE-0095,Salud,Hospitalización,3899.17,42,Amarillo,0.37607159575762217,0,Medio,0
SIN-0090,POL-0069,ASE-0247,Vehículos,Choque,3515.08,0,Verde,0.09100435247228665,0,Bajo,0
SIN-0091,POL-0247,ASE-0179,Salud,Cirugía,6766.69,58,Amarillo,0.4463776296338999,0,Medio,0
SIN-0092,POL-0137,ASE-0077,Vehículos,Robo Parcial,3953.84,16,Verde,0.18686803646524172,0,Bajo,0
SIN-0093,POL-0173,ASE-0146,Salud,Cirugía,14132.64,26,Verde,0.10083540091919273,0,Bajo,0
SIN-0094,POL-0167,ASE-0062,Vida,Invalidez Parcial,13034.33,14,Verde,0.0704353630881152,0,Bajo,0
SIN-0095,POL-0192,ASE-0248,Vehículos,Volcadura,7266.66,25,Verde,0.08443139840386521,0,Bajo,0
SIN-0096,POL-0183,ASE-0088,Salud,Cirugía,4396.67,26,Verde,0.05878794054787814,0,Bajo,0
SIN-0097,POL-0027,ASE-0198,Vehículos,Responsabilidad Civil,5833.33,71,Amarillo,0.4560754371964134,0,Medio,0
SIN-0098,POL-0133,ASE-0107,Salud,Atención Médica,1642.29,18,Verde,0.04259775570150883,0,Bajo,0
SIN-0099,POL-0019,ASE-0124,Vehículos,Choque,2974.22,26,Verde,0.09168143421925981,0,Bajo,0
SIN-0100,POL-0074,ASE-0170,Generales,Incendio Comercial,21349.06,0,Verde,0.03582846978895462,0,Bajo,0
SIN-0101,POL-0160,ASE-0099,Vehículos,Daño Parcial,1888.09,19,Verde,0.08137184354985699,0,Bajo,0
SIN-0102,POL-0190,ASE-0187,Salud,Emergencia,1768.81,0,Verde,0.03710382190838984,0,Bajo,0
SIN-0103,POL-0165,ASE-0153,Salud,Cirugía,3390.67,11,Verde,0.06809564151212397,0,Bajo,0
SIN-0104,POL-0171,ASE-0230,Vehículos,Volcadura,46543.93,80,Rojo,0.9346209965381473,1,Alto,1
SIN-0105,POL-0194,ASE-0043,Salud,Cirugía,10961.8,26,Verde,0.08349148014925149,0,Bajo,0
SIN-0106,POL-0297,ASE-0078,Vehículos,Pérdida Total,10450.33,25,Verde,0.06593497119643214,0,Bajo,0
SIN-0107,POL-0073,ASE-0069,Vehículos,Pérdida Total,10029.7,44,Amarillo,0.6453954769690042,1,Alto,1
SIN-0108,POL-0235,ASE-0207,Hogar,Terremoto,6885.43,0,Verde,0.09613170787305966,0,Bajo,0
SIN-0109,POL-0224,ASE-0125,Generales,Responsabilidad Civil,16000.35,5,Verde,0.16163238797324447,0,Bajo,0
SIN-0110,POL-0097,ASE-0180,Vida,Invalidez Parcial,6749.48,11,Verde,0.08139588455860687,0,Bajo,0
SIN-0111,POL-0119,ASE-0033,Vehículos,Volcadura,12992.06,49,Amarillo,0.5701992476956396,1,Medio,1
SIN-0112,POL-0264,ASE-0029,Vehículos,Responsabilidad Civil,16695.25,11,Verde,0.03942125676168247,0,Bajo,0
SIN-0113,POL-0100,ASE-0145,Hogar,Responsabilidad Civil,7885.84,83,Rojo,0.7200342377908515,1,Alto,1
SIN-0114,POL-0221,ASE-0214,Vehículos,Choque,6144.07,56,Amarillo,0.3669554433780284,0,Medio,0
SIN-0115,POL-0259,ASE-0057,Vehículos,Robo,9344.34,99,Rojo,0.985329697727861,1,Alto,1
SIN-0116,POL-0297,ASE-0078,Vehículos,Volcadura,7642.77,7,Verde,0.08627602576719137,0,Bajo,0
SIN-0117,POL-0270,ASE-0019,Vehículos,Pérdida Total,39319.0,25,Verde,0.23512800176911353,0,Bajo,0
SIN-0118,POL-0158,ASE-0231,Vida,Enfermedades Graves,28101.76,20,Verde,0.14200971252595684,0,Bajo,0
SIN-0119,POL-0084,ASE-0002,Vehículos,Robo Parcial,1822.76,5,Verde,0.06113656265271619,0,Bajo,0
SIN-0120,POL-0122,ASE-0212,Vehículos,Pérdida Total,20906.2,9,Verde,0.10026197848239284,0,Bajo,0
SIN-0121,POL-0059,ASE-0173,Vehículos,Robo Parcial,2167.78,49,Amarillo,0.6747302678734495,1,Alto,1
SIN-0122,POL-0119,ASE-0033,Salud,Maternidad,2268.94,5,Verde,0.03206173336958945,0,Bajo,0
SIN-0123,POL-0036,ASE-0059,Salud,Maternidad,840.42,58,Amarillo,0.4020918089256819,0,Medio,0
SIN-0124,POL-0177,ASE-0115,Hogar,Incendio,19377.19,11,Verde,0.051483177759105464,0,Bajo,0
SIN-0125,POL-0207,ASE-0052,Hogar,Terremoto,8879.85,48,Amarillo,0.2860058576152236,0,Bajo,0
SIN-0126,POL-0238,ASE-0170,Vehículos,Volcadura,16881.5,83,Rojo,0.9300152056616139,1,Alto,1
SIN-0127,POL-0040,ASE-0094,Vehículos,Daño Parcial,3369.0,26,Verde,0.08440400052146327,0,Bajo,0
SIN-0128,POL-0052,ASE-0003,Vehículos,Responsabilidad Civil,11427.06,56,Amarillo,0.42921167891801887,0,Medio,0
SIN-0129,POL-0230,ASE-0146,Salud,Atención Médica,356.47,26,Verde,0.10912684304159777,0,Bajo,0
SIN-0130,POL-0207,ASE-0052,Vida,Enfermedades Graves,27683.59,48,Amarillo,0.13919292552629292,0,Bajo,0
SIN-0131,POL-0229,ASE-0188,Vehículos,Robo,14064.0,5,Verde,0.07575626999531902,0,Bajo,0
SIN-0132,POL-0278,ASE-0240,Vehículos,Robo Parcial,4022.4,48,Amarillo,0.4174183434538351,0,Medio,0
SIN-0133,POL-0026,ASE-0052,Vida,Invalidez Total,14984.03,48,Amarillo,0.20865580421335622,0,Bajo,1
SIN-0134,POL-0201,ASE-0155,Vehículos,Robo,30893.23,100,Rojo,0.9912637244862482,1,Alto,1
SIN-0135,POL-0029,ASE-0176,Hogar,Daño por Agua,1381.03,0,Verde,0.06880012341677105,0,Bajo,0
SIN-0136,POL-0210,ASE-0247,Vida,Fallecimiento,24114.26,0,Verde,0.146363750417213,0,Bajo,0
SIN-0137,POL-0082,ASE-0025,Vehículos,Volcadura,5357.81,56,Amarillo,0.6889985732310714,1,Alto,1
SIN-0138,POL-0133,ASE-0107,Vehículos,Volcadura,4629.24,42,Amarillo,0.31564537045463076,0,Medio,0
SIN-0139,POL-0246,ASE-0240,Vehículos,Pérdida Total,40220.44,36,Verde,0.15867739312242637,0,Bajo,0
SIN-0140,POL-0198,ASE-0248,Vehículos,Robo Parcial,4881.0,19,Verde,0.063103777378713,0,Bajo,0
SIN-0141,POL-0267,ASE-0086,Vehículos,Robo,37594.45,10,Verde,0.11977142042301386,0,Bajo,0
SIN-0142,POL-0091,ASE-0043,Vehículos,Robo Parcial,3998.26,42,Amarillo,0.35042979464412616,0,Medio,0
SIN-0143,POL-0125,ASE-0006,Vehículos,Robo Parcial,1492.46,9,Verde,0.06985809741159718,0,Bajo,0
SIN-0144,POL-0151,ASE-0094,Vehículos,Responsabilidad Civil,10051.81,41,Amarillo,0.4778249664466799,0,Medio,0
SIN-0145,POL-0067,ASE-0195,Vida,Invalidez Total,25540.29,41,Amarillo,0.21247065697219739,0,Bajo,0
SIN-0146,POL-0249,ASE-0173,Vehículos,Daño Parcial,3545.22,11,Verde,0.03918411438039606,0,Bajo,0
SIN-0147,POL-0119,ASE-0033,Hogar,Responsabilidad Civil,1963.75,16,Verde,0.04135585787620509,0,Bajo,0
SIN-0148,POL-0067,ASE-0195,Salud,Emergencia,610.52,13,Verde,0.11956659482585681,0,Bajo,0
SIN-0149,POL-0181,ASE-0029,Vehículos,Choque,7994.39,49,Amarillo,0.46311017279792216,0,Medio,0
SIN-0150,POL-0161,ASE-0017,Vehículos,Robo Parcial,3712.06,26,Verde,0.08873157224409069,0,Bajo,0
SIN-0151,POL-0017,ASE-0211,Salud,Hospitalización,7155.39,11,Verde,0.07837696847654227,0,Bajo,0
SIN-0152,POL-0186,ASE-0016,Vehículos,Volcadura,7566.84,76,Rojo,0.7418786036344485,1,Alto,1
SIN-0153,POL-0019,ASE-0124,Hogar,Incendio,12635.88,0,Verde,0.3150445066220099,0,Medio,1
SIN-0154,POL-0174,ASE-0247,Vehículos,Volcadura,5517.41,49,Amarillo,0.6225569542752118,1,Alto,1
SIN-0155,POL-0132,ASE-0015,Salud,Atención Médica,930.13,45,Amarillo,0.47464780486093816,0,Medio,1
SIN-0156,POL-0023,ASE-0220,Salud,Atención Médica,1489.99,15,Verde,0.0885679272036813,0,Bajo,0
SIN-0157,POL-0042,ASE-0084,Vehículos,Volcadura,15924.11,7,Verde,0.08895678072565713,0,Bajo,0
SIN-0158,POL-0105,ASE-0061,Salud,Maternidad,1551.53,0,Verde,0.03553878476923738,0,Bajo,0
SIN-0159,POL-0053,ASE-0013,Vida,Enfermedades Graves,15587.04,0,Verde,0.09576258747309263,0,Bajo,0
SIN-0160,POL-0203,ASE-0091,Vehículos,Robo,35387.27,24,Verde,0.1118915901088026,0,Bajo,0
SIN-0161,POL-0152,ASE-0067,Vida,Enfermedades Graves,22819.9,13,Verde,0.04799362264697236,0,Bajo,0
SIN-0162,POL-0209,ASE-0142,Salud,Cirugía,9461.46,56,Amarillo,0.6782309610093955,1,Alto,1
SIN-0163,POL-0065,ASE-0158,Generales,Daño Equipos,40688.28,95,Rojo,0.8596702267491516,1,Alto,1
SIN-0164,POL-0107,ASE-0131,Vehículos,Pérdida Total,40224.01,56,Amarillo,0.3592060002322479,0,Medio,0
SIN-0165,POL-0196,ASE-0185,Vehículos,Choque,5825.55,5,Verde,0.02793225264016901,0,Bajo,0
SIN-0166,POL-0166,ASE-0102,Generales,Daño Equipos,2398.51,12,Verde,0.019906224712399233,0,Bajo,0
SIN-0167,POL-0250,ASE-0032,Vida,Fallecimiento,11389.59,44,Amarillo,0.22069112142974912,0,Bajo,0
SIN-0168,POL-0156,ASE-0173,Vehículos,Choque,3148.45,23,Verde,0.04609416277293785,0,Bajo,0
SIN-0169,POL-0190,ASE-0187,Salud,Atención Médica,2429.22,49,Amarillo,0.25953048910568294,0,Bajo,0
SIN-0170,POL-0202,ASE-0177,Vehículos,Robo Parcial,1575.39,9,Verde,0.10773267395370079,0,Bajo,0
SIN-0171,POL-0208,ASE-0102,Vehículos,Choque,7587.32,71,Amarillo,0.45988048035344276,0,Medio,0
SIN-0172,POL-0120,ASE-0011,Salud,Cirugía,2223.52,49,Amarillo,0.32972776490251043,0,Medio,0
SIN-0173,POL-0281,ASE-0231,Hogar,Robo Contenido,5565.44,20,Verde,0.09016880237925834,0,Bajo,0
SIN-0174,POL-0197,ASE-0220,Vehículos,Robo,79134.92,80,Rojo,0.9623875260560993,1,Alto,1
SIN-0175,POL-0023,ASE-0220,Vida,Fallecimiento,13250.98,83,Rojo,0.9051389173055878,1,Alto,1
SIN-0176,POL-0142,ASE-0066,Generales,Daño Equipos,5123.77,46,Amarillo,0.21330037741782173,0,Bajo,0
SIN-0177,POL-0223,ASE-0176,Generales,Robo Equipos,6611.4,56,Amarillo,0.27324432918737235,0,Bajo,0
SIN-0178,POL-0104,ASE-0012,Generales,Daño Equipos,7908.0,26,Verde,0.16492891768692608,0,Bajo,0
SIN-0179,POL-0007,ASE-0185,Vehículos,Volcadura,4950.87,10,Verde,0.1272781304817431,0,Bajo,0
SIN-0180,POL-0190,ASE-0187,Vehículos,Responsabilidad Civil,9010.24,44,Amarillo,0.1520104779919842,0,Bajo,0
SIN-0181,POL-0002,ASE-0094,Hogar,Terremoto,18369.27,58,Amarillo,0.6464244451000809,1,Alto,1
SIN-0182,POL-0245,ASE-0122,Generales,Daño Equipos,2053.84,71,Amarillo,0.3079434038900633,0,Medio,0
SIN-0183,POL-0199,ASE-0055,Generales,Incendio Comercial,24700.88,0,Verde,0.03818099156590836,0,Bajo,0
SIN-0184,POL-0268,ASE-0112,Salud,Emergencia,1844.89,25,Verde,0.10705773587370836,0,Bajo,0
SIN-0185,POL-0219,ASE-0104,Vehículos,Choque,3775.92,5,Verde,0.03523968726974404,0,Bajo,0
SIN-0186,POL-0030,ASE-0226,Salud,Atención Médica,1885.83,5,Verde,0.04639092109001698,0,Bajo,0
SIN-0187,POL-0206,ASE-0202,Salud,Maternidad,939.87,0,Verde,0.11287457657690378,0,Bajo,0
SIN-0188,POL-0143,ASE-0190,Vehículos,Robo,37229.76,5,Verde,0.10043482793733771,0,Bajo,0
SIN-0189,POL-0062,ASE-0053,Hogar,Daño por Agua,1921.97,0,Verde,0.05033690466465624,0,Bajo,0
SIN-0190,POL-0245,ASE-0122,Hogar,Terremoto,21104.2,56,Amarillo,0.39295988860811454,0,Medio,0
SIN-0191,POL-0153,ASE-0020,Hogar,Responsabilidad Civil,7043.53,0,Verde,0.03438596331209475,0,Bajo,0
SIN-0192,POL-0023,ASE-0220,Hogar,Robo Contenido,1620.75,71,Amarillo,0.3588553190136022,0,Medio,0
SIN-0193,POL-0095,ASE-0233,Vehículos,Pérdida Total,43341.02,19,Verde,0.1195263377807489,0,Bajo,0
SIN-0194,POL-0180,ASE-0069,Salud,Maternidad,868.07,84,Rojo,0.8162559172076038,1,Alto,1
SIN-0195,POL-0263,ASE-0095,Vehículos,Robo,29671.78,49,Amarillo,0.5988740728241733,1,Medio,1
SIN-0196,POL-0155,ASE-0222,Hogar,Robo Contenido,8785.35,5,Verde,0.08042201571493407,0,Bajo,0
SIN-0197,POL-0146,ASE-0244,Vehículos,Volcadura,12363.76,40,Verde,0.44624996310336457,0,Medio,0
SIN-0198,POL-0016,ASE-0093,Vehículos,Volcadura,18707.57,7,Verde,0.058776600837117686,0,Bajo,0
SIN-0199,POL-0021,ASE-0179,Vehículos,Choque,1511.66,71,Amarillo,0.6195558630737927,1,Alto,1
SIN-0200,POL-0101,ASE-0055,Vehículos,Daño Parcial,693.89,71,Amarillo,0.3059275970658056,0,Medio,0
SIN-0201,POL-0007,ASE-0185,Vehículos,Volcadura,18494.41,13,Verde,0.10024866827217997,0,Bajo,0
SIN-0202,POL-0107,ASE-0131,Vehículos,Robo Parcial,803.52,5,Verde,0.1303976444941998,0,Bajo,0
SIN-0203,POL-0114,ASE-0192,Vehículos,Volcadura,15226.95,42,Amarillo,0.3514861045438184,0,Medio,0
SIN-0204,POL-0168,ASE-0095,Salud,Cirugía,3457.75,95,Rojo,0.8204696830936922,1,Alto,1
SIN-0205,POL-0241,ASE-0245,Vida,Enfermedades Graves,19409.29,41,Amarillo,0.5130263661781312,1,Medio,0
SIN-0206,POL-0105,ASE-0061,Salud,Emergencia,1290.5,56,Amarillo,0.5980225722691654,1,Medio,1
SIN-0207,POL-0265,ASE-0110,Vehículos,Daño Parcial,2712.41,56,Amarillo,0.447830228709365,0,Medio,0
SIN-0208,POL-0093,ASE-0037,Salud,Atención Médica,19488.42,80,Rojo,0.6766165048478328,1,Alto,1
SIN-0209,POL-0203,ASE-0091,Vehículos,Volcadura,18055.82,100,Rojo,0.9538203220668074,1,Alto,1
SIN-0210,POL-0194,ASE-0043,Vida,Invalidez Parcial,7890.99,76,Rojo,0.9277366533926087,1,Alto,1
SIN-0211,POL-0047,ASE-0176,Salud,Emergencia,1953.87,5,Verde,0.07103314497540618,0,Bajo,0
SIN-0212,POL-0057,ASE-0026,Vehículos,Responsabilidad Civil,7716.17,25,Verde,0.05048324465235513,0,Bajo,0
SIN-0213,POL-0095,ASE-0233,Vida,Enfermedades Graves,22609.81,41,Amarillo,0.5285226151018674,1,Medio,1
SIN-0214,POL-0099,ASE-0134,Hogar,Robo Contenido,8245.39,26,Verde,0.12399366016384483,0,Bajo,0
SIN-0215,POL-0134,ASE-0225,Vida,Enfermedades Graves,8215.32,12,Verde,0.26627796331991926,0,Bajo,0
SIN-0216,POL-0180,ASE-0069,Vehículos,Pérdida Total,21703.09,13,Verde,0.17074069108424117,0,Bajo,0
SIN-0217,POL-0174,ASE-0247,Vehículos,Volcadura,13762.84,10,Verde,0.10400161610420332,0,Bajo,0
SIN-0218,POL-0256,ASE-0080,Vehículos,Responsabilidad Civil,18381.77,49,Amarillo,0.35079873537743483,0,Medio,0
SIN-0219,POL-0259,ASE-0057,Vehículos,Volcadura,8725.03,25,Verde,0.12644174021733515,0,Bajo,0
SIN-0220,POL-0052,ASE-0003,Vida,Fallecimiento,16618.05,26,Verde,0.05160330981492823,0,Bajo,0
SIN-0221,POL-0139,ASE-0146,Hogar,Robo Contenido,1963.6,56,Amarillo,0.6154347141151437,1,Alto,1
SIN-0222,POL-0101,ASE-0055,Vehículos,Choque,4696.98,11,Verde,0.09109045145608789,0,Bajo,0
SIN-0223,POL-0265,ASE-0110,Vehículos,Volcadura,5145.7,100,Rojo,0.9700469746590947,1,Alto,1
SIN-0224,POL-0007,ASE-0185,Hogar,Terremoto,13398.04,5,Verde,0.10685464315790057,0,Bajo,0
SIN-0225,POL-0180,ASE-0069,Vehículos,Robo,31237.18,5,Verde,0.1501044006976881,0,Bajo,0
